,drug,HC03_VC208,HC03_VC207,HC03_VC206,HC03_VC205,HC03_VC204,HC03_VC203,HC03_VC202,HC03_VC201,HC03_VC200,HC03_VC199,HC03_VC198,HC03_VC197,HC03_VC196,HC03_VC195,HC03_VC194,HC03_VC193
10,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_2,HC03_VC205_4,HC03_VC204_1,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_2,HC03_VC195_3,HC03_VC194_2,HC03_VC193_4
11,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_2,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_1,HC03_VC198_3,HC03_VC197_3,HC03_VC196_3,HC03_VC195_2,HC03_VC194_3,HC03_VC193_4
12,high,HC03_VC208_4,HC03_VC207_2,HC03_VC206_3,HC03_VC205_2,HC03_VC204_3,HC03_VC203_4,HC03_VC202_1,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_2,HC03_VC193_2
13,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_2,HC03_VC205_3,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_1,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_2,HC03_VC194_3,HC03_VC193_3
14,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
15,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_1,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
16,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_3,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_4,HC03_VC196_2,HC03_VC195_1,HC03_VC194_3,HC03_VC193_3
17,high,HC03_VC208_4,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_1,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
18,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_2,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_4,HC03_VC196_3,HC03_VC195_2,HC03_VC194_4,HC03_VC193_1
19,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
20,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_3,HC03_VC196_2,HC03_VC195_1,HC03_VC194_3,HC03_VC193_3
21,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_2,HC03_VC197_2,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_3
22,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_1,HC03_VC205_4,HC03_VC204_4,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_2,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3
23,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
24,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_3,HC03_VC204_4,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
25,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_2,HC03_VC202_2,HC03_VC201_1,HC03_VC200_2,HC03_VC199_2,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
26,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_3,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
27,high,HC03_VC208_4,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_1,HC03_VC194_3,HC03_VC193_3
28,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_3,HC03_VC196_3,HC03_VC195_2,HC03_VC194_2,HC03_VC193_2
29,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
30,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_4,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
31,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_1,HC03_VC199_2,HC03_VC198_2,HC03_VC197_3,HC03_VC196_3,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
32,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
33,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
34,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_2,HC03_VC197_2,HC03_VC196_3,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
35,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
36,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_3,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
37,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_2,HC03_VC205_2,HC03_VC204_4,HC03_VC203_3,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
38,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3
39,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
40,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
41,high,HC03_VC208_4,HC03_VC207_2,HC03_VC206_3,HC03_VC205_3,HC03_VC204_4,HC03_VC203_3,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
42,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_1,HC03_VC205_4,HC03_VC204_3,HC03_VC203_3,HC03_VC202_1,HC03_VC201_3,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_1
43,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1
44,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_3,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_4
45,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
46,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_1,HC03_VC203_3,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3
47,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_3,HC03_VC199_1,HC03_VC198_3,HC03_VC197_3,HC03_VC196_3,HC03_VC195_1,HC03_VC194_3,HC03_VC193_4
48,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_2,HC03_VC204_4,HC03_VC203_4,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_1
49,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_4,HC03_VC199_1,HC03_VC198_2,HC03_VC197_4,HC03_VC196_1,HC03_VC195_2,HC03_VC194_2,HC03_VC193_4
50,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_2,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
51,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_3,HC03_VC202_1,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_4
52,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_2,HC03_VC194_4,HC03_VC193_2
53,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_1,HC03_VC194_2,HC03_VC193_3
54,high,HC03_VC208_4,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_4,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_2,HC03_VC194_4,HC03_VC193_4
55,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1
56,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_1,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
57,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_2,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
58,high,HC03_VC208_4,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3
59,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_3,HC03_VC205_1,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
60,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_1,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_1,HC03_VC198_2,HC03_VC197_1,HC03_VC196_1,HC03_VC195_2,HC03_VC194_2,HC03_VC193_4
61,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_3,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_1,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
62,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_2,HC03_VC194_2,HC03_VC193_4
63,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
64,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_3,HC03_VC205_2,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3
65,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_1,HC03_VC195_2,HC03_VC194_1,HC03_VC193_4
66,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_2,HC03_VC205_3,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_3,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_2,HC03_VC193_2
67,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_4,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
68,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_2,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_1,HC03_VC197_3,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
69,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_1,HC03_VC205_2,HC03_VC204_4,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
70,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_4,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
71,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_3,HC03_VC196_3,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
72,high,HC03_VC208_2,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_2,HC03_VC194_2,HC03_VC193_2
73,high,HC03_VC208_3,HC03_VC207_2,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_2,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
74,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_4,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_2
75,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_2
76,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_2,HC03_VC193_4
77,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_3,HC03_VC202_1,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
78,high,HC03_VC208_4,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_3,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
79,high,HC03_VC208_2,HC03_VC207_2,HC03_VC206_1,HC03_VC205_4,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_3,HC03_VC195_2,HC03_VC194_2,HC03_VC193_3
80,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
81,high,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_1,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_1,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
82,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_4,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_1,HC03_VC198_4,HC03_VC197_4,HC03_VC196_1,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
