,drug,HC03_VC98,HC03_VC99
114,high,HC03_VC98_3,HC03_VC99_4
115,high,HC03_VC98_1,HC03_VC99_2
116,mid,HC03_VC98_4,HC03_VC99_2
117,mid,HC03_VC98_3,HC03_VC99_4
118,mid,HC03_VC98_4,HC03_VC99_1
119,mid,HC03_VC98_4,HC03_VC99_4
120,mid,HC03_VC98_1,HC03_VC99_3
121,mid,HC03_VC98_1,HC03_VC99_4
122,mid,HC03_VC98_1,HC03_VC99_1
123,mid,HC03_VC98_2,HC03_VC99_1
124,mid,HC03_VC98_4,HC03_VC99_1
125,mid,HC03_VC98_1,HC03_VC99_2
126,mid,HC03_VC98_3,HC03_VC99_3
127,mid,HC03_VC98_3,HC03_VC99_1
128,mid,HC03_VC98_3,HC03_VC99_3
129,mid,HC03_VC98_4,HC03_VC99_4
130,mid,HC03_VC98_4,HC03_VC99_4
131,mid,HC03_VC98_1,HC03_VC99_3
132,mid,HC03_VC98_3,HC03_VC99_3
133,mid,HC03_VC98_1,HC03_VC99_1
134,mid,HC03_VC98_4,HC03_VC99_4
135,mid,HC03_VC98_4,HC03_VC99_3
136,mid,HC03_VC98_1,HC03_VC99_3
137,mid,HC03_VC98_4,HC03_VC99_1
138,mid,HC03_VC98_1,HC03_VC99_3
139,mid,HC03_VC98_1,HC03_VC99_3
140,mid,HC03_VC98_3,HC03_VC99_4
141,mid,HC03_VC98_4,HC03_VC99_1
142,mid,HC03_VC98_3,HC03_VC99_4
143,mid,HC03_VC98_1,HC03_VC99_3
144,mid,HC03_VC98_4,HC03_VC99_1
145,mid,HC03_VC98_1,HC03_VC99_4
146,mid,HC03_VC98_3,HC03_VC99_2
147,mid,HC03_VC98_4,HC03_VC99_2
148,mid,HC03_VC98_1,HC03_VC99_3
149,mid,HC03_VC98_1,HC03_VC99_4
150,mid,HC03_VC98_3,HC03_VC99_3
151,mid,HC03_VC98_4,HC03_VC99_3
152,mid,HC03_VC98_4,HC03_VC99_4
153,mid,HC03_VC98_3,HC03_VC99_4
154,mid,HC03_VC98_2,HC03_VC99_4
155,mid,HC03_VC98_3,HC03_VC99_2
156,mid,HC03_VC98_4,HC03_VC99_4
157,mid,HC03_VC98_2,HC03_VC99_1
158,mid,HC03_VC98_4,HC03_VC99_2
159,mid,HC03_VC98_1,HC03_VC99_2
160,mid,HC03_VC98_2,HC03_VC99_1
161,mid,HC03_VC98_4,HC03_VC99_1
162,mid,HC03_VC98_1,HC03_VC99_1
163,mid,HC03_VC98_4,HC03_VC99_1
164,mid,HC03_VC98_2,HC03_VC99_3
165,mid,HC03_VC98_3,HC03_VC99_1
166,mid,HC03_VC98_1,HC03_VC99_3
167,mid,HC03_VC98_4,HC03_VC99_4
168,mid,HC03_VC98_2,HC03_VC99_4
169,mid,HC03_VC98_2,HC03_VC99_3
170,mid,HC03_VC98_4,HC03_VC99_2
171,mid,HC03_VC98_4,HC03_VC99_1
172,mid,HC03_VC98_2,HC03_VC99_3
173,mid,HC03_VC98_1,HC03_VC99_1
174,mid,HC03_VC98_2,HC03_VC99_2
175,mid,HC03_VC98_2,HC03_VC99_1
176,mid,HC03_VC98_1,HC03_VC99_1
177,mid,HC03_VC98_2,HC03_VC99_2
178,mid,HC03_VC98_1,HC03_VC99_2
179,mid,HC03_VC98_2,HC03_VC99_2
180,mid,HC03_VC98_2,HC03_VC99_3
181,mid,HC03_VC98_2,HC03_VC99_3
182,mid,HC03_VC98_1,HC03_VC99_1
183,mid,HC03_VC98_4,HC03_VC99_4
184,mid,HC03_VC98_4,HC03_VC99_4
185,mid,HC03_VC98_1,HC03_VC99_2
186,mid,HC03_VC98_2,HC03_VC99_2
187,mid,HC03_VC98_3,HC03_VC99_1
188,mid,HC03_VC98_1,HC03_VC99_1
189,mid,HC03_VC98_3,HC03_VC99_3
190,mid,HC03_VC98_1,HC03_VC99_1
191,mid,HC03_VC98_3,HC03_VC99_2
192,mid,HC03_VC98_2,HC03_VC99_3
193,mid,HC03_VC98_1,HC03_VC99_3
194,mid,HC03_VC98_2,HC03_VC99_1
195,mid,HC03_VC98_1,HC03_VC99_4
196,mid,HC03_VC98_2,HC03_VC99_2
197,mid,HC03_VC98_3,HC03_VC99_2
198,mid,HC03_VC98_3,HC03_VC99_1
199,mid,HC03_VC98_1,HC03_VC99_2
200,mid,HC03_VC98_3,HC03_VC99_3
201,mid,HC03_VC98_1,HC03_VC99_2
202,mid,HC03_VC98_1,HC03_VC99_4
203,mid,HC03_VC98_4,HC03_VC99_3
204,mid,HC03_VC98_1,HC03_VC99_4
205,mid,HC03_VC98_3,HC03_VC99_1
206,mid,HC03_VC98_3,HC03_VC99_4
207,mid,HC03_VC98_1,HC03_VC99_2
208,mid,HC03_VC98_3,HC03_VC99_4
209,mid,HC03_VC98_2,HC03_VC99_2
210,mid,HC03_VC98_4,HC03_VC99_3
211,mid,HC03_VC98_2,HC03_VC99_2
212,mid,HC03_VC98_3,HC03_VC99_3
213,mid,HC03_VC98_2,HC03_VC99_1
214,mid,HC03_VC98_2,HC03_VC99_1
215,mid,HC03_VC98_4,HC03_VC99_3
216,mid,HC03_VC98_1,HC03_VC99_2
217,mid,HC03_VC98_2,HC03_VC99_2
218,mid,HC03_VC98_4,HC03_VC99_4
219,mid,HC03_VC98_4,HC03_VC99_3
220,mid,HC03_VC98_1,HC03_VC99_1
221,mid,HC03_VC98_1,HC03_VC99_3
222,mid,HC03_VC98_3,HC03_VC99_3
223,mid,HC03_VC98_4,HC03_VC99_1
224,mid,HC03_VC98_1,HC03_VC99_3
225,mid,HC03_VC98_4,HC03_VC99_2
226,mid,HC03_VC98_4,HC03_VC99_3
227,mid,HC03_VC98_1,HC03_VC99_2
228,mid,HC03_VC98_1,HC03_VC99_1
229,mid,HC03_VC98_2,HC03_VC99_4
230,mid,HC03_VC98_2,HC03_VC99_1
231,mid,HC03_VC98_3,HC03_VC99_1
232,mid,HC03_VC98_4,HC03_VC99_2
233,mid,HC03_VC98_3,HC03_VC99_1
234,mid,HC03_VC98_1,HC03_VC99_1
235,mid,HC03_VC98_4,HC03_VC99_3
236,mid,HC03_VC98_1,HC03_VC99_1
237,mid,HC03_VC98_2,HC03_VC99_2
238,mid,HC03_VC98_1,HC03_VC99_1
239,mid,HC03_VC98_3,HC03_VC99_1
240,mid,HC03_VC98_1,HC03_VC99_4
241,mid,HC03_VC98_1,HC03_VC99_1
242,mid,HC03_VC98_4,HC03_VC99_3
243,mid,HC03_VC98_1,HC03_VC99_2
244,mid,HC03_VC98_1,HC03_VC99_2
245,mid,HC03_VC98_3,HC03_VC99_1
246,mid,HC03_VC98_2,HC03_VC99_4
247,mid,HC03_VC98_2,HC03_VC99_1
248,mid,HC03_VC98_2,HC03_VC99_2
249,mid,HC03_VC98_4,HC03_VC99_3
250,mid,HC03_VC98_3,HC03_VC99_4
251,mid,HC03_VC98_1,HC03_VC99_2
252,mid,HC03_VC98_3,HC03_VC99_2
253,mid,HC03_VC98_3,HC03_VC99_1
254,mid,HC03_VC98_4,HC03_VC99_4
255,mid,HC03_VC98_2,HC03_VC99_1
256,mid,HC03_VC98_2,HC03_VC99_3
257,mid,HC03_VC98_4,HC03_VC99_3
258,mid,HC03_VC98_3,HC03_VC99_3
259,mid,HC03_VC98_4,HC03_VC99_4
260,mid,HC03_VC98_3,HC03_VC99_4
261,mid,HC03_VC98_2,HC03_VC99_2
262,mid,HC03_VC98_1,HC03_VC99_4
263,mid,HC03_VC98_3,HC03_VC99_4
264,mid,HC03_VC98_1,HC03_VC99_2
265,mid,HC03_VC98_1,HC03_VC99_1
266,mid,HC03_VC98_3,HC03_VC99_4
267,mid,HC03_VC98_2,HC03_VC99_3
268,mid,HC03_VC98_1,HC03_VC99_2
269,mid,HC03_VC98_4,HC03_VC99_1
270,mid,HC03_VC98_4,HC03_VC99_1
271,mid,HC03_VC98_1,HC03_VC99_1
272,mid,HC03_VC98_3,HC03_VC99_2
273,mid,HC03_VC98_2,HC03_VC99_2
274,mid,HC03_VC98_1,HC03_VC99_2
275,mid,HC03_VC98_1,HC03_VC99_3
276,mid,HC03_VC98_3,HC03_VC99_1
277,mid,HC03_VC98_4,HC03_VC99_4
278,mid,HC03_VC98_4,HC03_VC99_4
279,mid,HC03_VC98_3,HC03_VC99_2
280,mid,HC03_VC98_2,HC03_VC99_2
281,mid,HC03_VC98_1,HC03_VC99_2
282,mid,HC03_VC98_4,HC03_VC99_1
283,mid,HC03_VC98_4,HC03_VC99_4
284,mid,HC03_VC98_3,HC03_VC99_4
285,mid,HC03_VC98_1,HC03_VC99_2
286,mid,HC03_VC98_4,HC03_VC99_4
287,mid,HC03_VC98_1,HC03_VC99_2
288,mid,HC03_VC98_3,HC03_VC99_4
289,mid,HC03_VC98_3,HC03_VC99_3
290,mid,HC03_VC98_1,HC03_VC99_2
291,mid,HC03_VC98_3,HC03_VC99_3
292,mid,HC03_VC98_2,HC03_VC99_2
293,mid,HC03_VC98_2,HC03_VC99_3
294,mid,HC03_VC98_2,HC03_VC99_2
295,mid,HC03_VC98_3,HC03_VC99_2
296,mid,HC03_VC98_1,HC03_VC99_4
297,mid,HC03_VC98_1,HC03_VC99_3
298,mid,HC03_VC98_1,HC03_VC99_1
299,mid,HC03_VC98_1,HC03_VC99_3
300,mid,HC03_VC98_3,HC03_VC99_2
301,mid,HC03_VC98_4,HC03_VC99_3
302,mid,HC03_VC98_2,HC03_VC99_1
303,mid,HC03_VC98_1,HC03_VC99_1
304,mid,HC03_VC98_2,HC03_VC99_1
305,mid,HC03_VC98_2,HC03_VC99_3
306,mid,HC03_VC98_1,HC03_VC99_3
307,mid,HC03_VC98_1,HC03_VC99_1
308,mid,HC03_VC98_4,HC03_VC99_4
309,mid,HC03_VC98_2,HC03_VC99_2
310,mid,HC03_VC98_2,HC03_VC99_4
311,mid,HC03_VC98_1,HC03_VC99_3
312,mid,HC03_VC98_3,HC03_VC99_1
313,mid,HC03_VC98_4,HC03_VC99_1
314,mid,HC03_VC98_1,HC03_VC99_1
315,mid,HC03_VC98_3,HC03_VC99_3
316,mid,HC03_VC98_4,HC03_VC99_3
317,mid,HC03_VC98_3,HC03_VC99_3
318,mid,HC03_VC98_2,HC03_VC99_1
319,mid,HC03_VC98_4,HC03_VC99_4
320,mid,HC03_VC98_2,HC03_VC99_1
321,mid,HC03_VC98_1,HC03_VC99_1
322,mid,HC03_VC98_1,HC03_VC99_4
323,mid,HC03_VC98_2,HC03_VC99_1
324,mid,HC03_VC98_3,HC03_VC99_2
325,mid,HC03_VC98_2,HC03_VC99_3
326,mid,HC03_VC98_2,HC03_VC99_2
327,mid,HC03_VC98_1,HC03_VC99_1
328,mid,HC03_VC98_2,HC03_VC99_4
329,mid,HC03_VC98_1,HC03_VC99_2
330,mid,HC03_VC98_1,HC03_VC99_1
331,mid,HC03_VC98_2,HC03_VC99_1
332,mid,HC03_VC98_1,HC03_VC99_2
333,mid,HC03_VC98_4,HC03_VC99_4
334,mid,HC03_VC98_1,HC03_VC99_2
335,mid,HC03_VC98_3,HC03_VC99_2
336,mid,HC03_VC98_2,HC03_VC99_4
337,mid,HC03_VC98_1,HC03_VC99_4
338,mid,HC03_VC98_4,HC03_VC99_2
339,mid,HC03_VC98_2,HC03_VC99_1
340,mid,HC03_VC98_1,HC03_VC99_2
341,mid,HC03_VC98_1,HC03_VC99_3
342,mid,HC03_VC98_1,HC03_VC99_2
343,mid,HC03_VC98_2,HC03_VC99_4
344,mid,HC03_VC98_1,HC03_VC99_3
345,mid,HC03_VC98_2,HC03_VC99_3
346,low,HC03_VC98_2,HC03_VC99_1
347,low,HC03_VC98_2,HC03_VC99_2
348,low,HC03_VC98_2,HC03_VC99_2
349,low,HC03_VC98_4,HC03_VC99_2
350,low,HC03_VC98_4,HC03_VC99_4
351,low,HC03_VC98_4,HC03_VC99_1
352,low,HC03_VC98_2,HC03_VC99_3
353,low,HC03_VC98_2,HC03_VC99_2
354,low,HC03_VC98_2,HC03_VC99_2
355,low,HC03_VC98_2,HC03_VC99_2
356,low,HC03_VC98_1,HC03_VC99_4
357,low,HC03_VC98_4,HC03_VC99_2
358,low,HC03_VC98_1,HC03_VC99_1
359,low,HC03_VC98_2,HC03_VC99_1
360,low,HC03_VC98_2,HC03_VC99_3
361,low,HC03_VC98_1,HC03_VC99_4
362,low,HC03_VC98_1,HC03_VC99_4
363,low,HC03_VC98_2,HC03_VC99_1
364,low,HC03_VC98_4,HC03_VC99_1
365,low,HC03_VC98_1,HC03_VC99_3
366,low,HC03_VC98_4,HC03_VC99_1
367,low,HC03_VC98_4,HC03_VC99_3
368,low,HC03_VC98_4,HC03_VC99_1
369,low,HC03_VC98_1,HC03_VC99_1
370,low,HC03_VC98_1,HC03_VC99_3
371,low,HC03_VC98_2,HC03_VC99_4
372,low,HC03_VC98_2,HC03_VC99_1
373,low,HC03_VC98_4,HC03_VC99_1
374,low,HC03_VC98_3,HC03_VC99_3
375,low,HC03_VC98_4,HC03_VC99_1
376,low,HC03_VC98_1,HC03_VC99_3
377,low,HC03_VC98_2,HC03_VC99_1
378,low,HC03_VC98_2,HC03_VC99_1
379,low,HC03_VC98_1,HC03_VC99_3
380,low,HC03_VC98_1,HC03_VC99_4
381,low,HC03_VC98_2,HC03_VC99_2
382,low,HC03_VC98_4,HC03_VC99_1
383,low,HC03_VC98_4,HC03_VC99_4
384,low,HC03_VC98_2,HC03_VC99_2
385,low,HC03_VC98_4,HC03_VC99_3
386,low,HC03_VC98_3,HC03_VC99_2
387,low,HC03_VC98_4,HC03_VC99_4
388,low,HC03_VC98_1,HC03_VC99_2
389,low,HC03_VC98_4,HC03_VC99_1
390,low,HC03_VC98_2,HC03_VC99_1
391,low,HC03_VC98_4,HC03_VC99_3
392,low,HC03_VC98_2,HC03_VC99_2
393,low,HC03_VC98_2,HC03_VC99_1
394,low,HC03_VC98_3,HC03_VC99_1
395,low,HC03_VC98_2,HC03_VC99_2
396,low,HC03_VC98_3,HC03_VC99_2
397,low,HC03_VC98_3,HC03_VC99_1
398,low,HC03_VC98_4,HC03_VC99_1
399,low,HC03_VC98_4,HC03_VC99_1
400,low,HC03_VC98_2,HC03_VC99_1
401,low,HC03_VC98_3,HC03_VC99_3
402,low,HC03_VC98_4,HC03_VC99_1
403,low,HC03_VC98_2,HC03_VC99_3
404,low,HC03_VC98_3,HC03_VC99_1
405,low,HC03_VC98_4,HC03_VC99_2
406,low,HC03_VC98_3,HC03_VC99_1
407,low,HC03_VC98_3,HC03_VC99_3
408,low,HC03_VC98_2,HC03_VC99_3
409,low,HC03_VC98_1,HC03_VC99_1
410,low,HC03_VC98_1,HC03_VC99_2
411,low,HC03_VC98_3,HC03_VC99_4
412,low,HC03_VC98_2,HC03_VC99_3
413,low,HC03_VC98_2,HC03_VC99_3
414,low,HC03_VC98_3,HC03_VC99_2
415,low,HC03_VC98_3,HC03_VC99_3
416,low,HC03_VC98_4,HC03_VC99_1
417,low,HC03_VC98_4,HC03_VC99_1
418,low,HC03_VC98_1,HC03_VC99_1
419,low,HC03_VC98_1,HC03_VC99_2
420,low,HC03_VC98_4,HC03_VC99_1
421,low,HC03_VC98_4,HC03_VC99_4
422,low,HC03_VC98_3,HC03_VC99_1
423,low,HC03_VC98_1,HC03_VC99_4
424,low,HC03_VC98_2,HC03_VC99_4
425,low,HC03_VC98_4,HC03_VC99_3
426,low,HC03_VC98_2,HC03_VC99_4
427,low,HC03_VC98_3,HC03_VC99_3
428,low,HC03_VC98_3,HC03_VC99_3
429,low,HC03_VC98_2,HC03_VC99_1
430,low,HC03_VC98_2,HC03_VC99_2
431,low,HC03_VC98_1,HC03_VC99_2
432,low,HC03_VC98_4,HC03_VC99_4
433,low,HC03_VC98_3,HC03_VC99_2
434,low,HC03_VC98_3,HC03_VC99_4
435,low,HC03_VC98_2,HC03_VC99_1
436,low,HC03_VC98_2,HC03_VC99_2
437,low,HC03_VC98_2,HC03_VC99_3
438,low,HC03_VC98_1,HC03_VC99_4
439,low,HC03_VC98_3,HC03_VC99_1
440,low,HC03_VC98_4,HC03_VC99_1
441,low,HC03_VC98_4,HC03_VC99_2
442,low,HC03_VC98_4,HC03_VC99_1
443,low,HC03_VC98_2,HC03_VC99_2
444,low,HC03_VC98_4,HC03_VC99_1
445,low,HC03_VC98_4,HC03_VC99_3
446,low,HC03_VC98_4,HC03_VC99_3
447,low,HC03_VC98_4,HC03_VC99_2
448,low,HC03_VC98_4,HC03_VC99_1
449,low,HC03_VC98_4,HC03_VC99_2
450,low,HC03_VC98_4,HC03_VC99_2
451,low,HC03_VC98_4,HC03_VC99_1
452,low,HC03_VC98_4,HC03_VC99_3
453,low,HC03_VC98_3,HC03_VC99_4
454,low,HC03_VC98_3,HC03_VC99_1
455,low,HC03_VC98_3,HC03_VC99_4
456,low,HC03_VC98_4,HC03_VC99_1
457,low,HC03_VC98_4,HC03_VC99_3
458,low,HC03_VC98_3,HC03_VC99_2
459,low,HC03_VC98_4,HC03_VC99_2
