,drug,HC03_VC61,HC03_VC62,HC03_VC64,HC03_VC65,HC03_VC66,HC03_VC67,HC03_VC69,HC03_VC70,HC03_VC71
59,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_3,HC03_VC70_2,HC03_VC71_2
60,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_4,HC03_VC71_1
61,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_4,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
62,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
63,high,HC03_VC61_1,HC03_VC62_1,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
64,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_3,HC03_VC69_3,HC03_VC70_3,HC03_VC71_3
65,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_4,HC03_VC67_3,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
66,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_4,HC03_VC66_3,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_3
67,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_3
68,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_1,HC03_VC65_4,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
69,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_2,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_2,HC03_VC71_3
70,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_3,HC03_VC66_1,HC03_VC67_3,HC03_VC69_3,HC03_VC70_2,HC03_VC71_4
71,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_4,HC03_VC71_2
72,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
73,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
74,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_1,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
75,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_1,HC03_VC67_3,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
76,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_4
77,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_1,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
78,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_3
79,high,HC03_VC61_2,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
80,high,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
81,high,HC03_VC61_2,HC03_VC62_3,HC03_VC64_4,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
82,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_1,HC03_VC67_3,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
83,high,HC03_VC61_3,HC03_VC62_2,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_3,HC03_VC69_3,HC03_VC70_4,HC03_VC71_4
84,high,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
85,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
86,high,HC03_VC61_4,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
87,high,HC03_VC61_3,HC03_VC62_2,HC03_VC64_3,HC03_VC65_3,HC03_VC66_1,HC03_VC67_2,HC03_VC69_3,HC03_VC70_2,HC03_VC71_3
88,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
89,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_4,HC03_VC71_2
90,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_1,HC03_VC65_4,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
91,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_3,HC03_VC70_4,HC03_VC71_3
92,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
93,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
94,high,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_1
95,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
96,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_4,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
97,high,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
98,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
99,high,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_2,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_3
100,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
101,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_1,HC03_VC71_1
102,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_3
103,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
104,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_3,HC03_VC66_4,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
105,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_1
106,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
107,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_1,HC03_VC71_3
108,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_2
109,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
110,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
111,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
112,high,HC03_VC61_2,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
113,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_2,HC03_VC65_4,HC03_VC66_3,HC03_VC67_2,HC03_VC69_4,HC03_VC70_3,HC03_VC71_4
114,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_3,HC03_VC67_3,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
115,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_1,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
116,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_4,HC03_VC65_2,HC03_VC66_1,HC03_VC67_3,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
117,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
118,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_3,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_3,HC03_VC71_1
119,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
120,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
121,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
122,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
123,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
124,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_3,HC03_VC70_2,HC03_VC71_4
125,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
126,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_4,HC03_VC65_1,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
127,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
128,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_3,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_3
129,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_3,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_3
130,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_4,HC03_VC70_3,HC03_VC71_2
131,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
132,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_2,HC03_VC71_3
133,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
134,mid,HC03_VC61_4,HC03_VC62_3,HC03_VC64_4,HC03_VC65_3,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
135,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_3
136,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_4,HC03_VC69_1,HC03_VC70_4,HC03_VC71_2
137,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
138,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_2,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_3
139,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
140,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_1,HC03_VC70_4,HC03_VC71_2
141,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
142,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_2,HC03_VC71_3
143,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_2,HC03_VC67_4,HC03_VC69_1,HC03_VC70_3,HC03_VC71_1
144,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
145,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_3
