,drug,HC03_VC51,HC03_VC52
72,high,HC03_VC51_1,HC03_VC52_3
73,high,HC03_VC51_3,HC03_VC52_3
74,high,HC03_VC51_4,HC03_VC52_4
75,high,HC03_VC51_4,HC03_VC52_3
76,high,HC03_VC51_4,HC03_VC52_1
77,high,HC03_VC51_2,HC03_VC52_2
78,high,HC03_VC51_1,HC03_VC52_1
79,high,HC03_VC51_3,HC03_VC52_2
80,high,HC03_VC51_4,HC03_VC52_4
81,high,HC03_VC51_3,HC03_VC52_1
82,high,HC03_VC51_2,HC03_VC52_2
83,high,HC03_VC51_3,HC03_VC52_3
84,high,HC03_VC51_4,HC03_VC52_1
85,high,HC03_VC51_4,HC03_VC52_4
86,high,HC03_VC51_4,HC03_VC52_1
87,high,HC03_VC51_3,HC03_VC52_2
88,high,HC03_VC51_3,HC03_VC52_3
89,high,HC03_VC51_3,HC03_VC52_3
90,high,HC03_VC51_4,HC03_VC52_4
91,high,HC03_VC51_4,HC03_VC52_3
92,high,HC03_VC51_1,HC03_VC52_2
93,high,HC03_VC51_3,HC03_VC52_3
94,high,HC03_VC51_4,HC03_VC52_1
95,high,HC03_VC51_3,HC03_VC52_1
96,high,HC03_VC51_1,HC03_VC52_3
97,high,HC03_VC51_3,HC03_VC52_1
98,high,HC03_VC51_3,HC03_VC52_4
99,high,HC03_VC51_4,HC03_VC52_3
100,high,HC03_VC51_1,HC03_VC52_2
101,high,HC03_VC51_4,HC03_VC52_1
102,high,HC03_VC51_2,HC03_VC52_1
103,high,HC03_VC51_4,HC03_VC52_1
104,high,HC03_VC51_4,HC03_VC52_4
105,high,HC03_VC51_1,HC03_VC52_2
106,high,HC03_VC51_2,HC03_VC52_3
107,high,HC03_VC51_2,HC03_VC52_2
108,high,HC03_VC51_4,HC03_VC52_4
109,high,HC03_VC51_3,HC03_VC52_1
110,high,HC03_VC51_1,HC03_VC52_2
111,high,HC03_VC51_2,HC03_VC52_3
112,high,HC03_VC51_3,HC03_VC52_3
113,high,HC03_VC51_3,HC03_VC52_3
114,high,HC03_VC51_3,HC03_VC52_2
115,high,HC03_VC51_1,HC03_VC52_2
116,mid,HC03_VC51_3,HC03_VC52_1
117,mid,HC03_VC51_3,HC03_VC52_4
118,mid,HC03_VC51_4,HC03_VC52_3
119,mid,HC03_VC51_4,HC03_VC52_3
120,mid,HC03_VC51_1,HC03_VC52_1
121,mid,HC03_VC51_1,HC03_VC52_4
122,mid,HC03_VC51_2,HC03_VC52_2
123,mid,HC03_VC51_3,HC03_VC52_4
124,mid,HC03_VC51_4,HC03_VC52_2
125,mid,HC03_VC51_1,HC03_VC52_3
126,mid,HC03_VC51_3,HC03_VC52_4
127,mid,HC03_VC51_3,HC03_VC52_4
128,mid,HC03_VC51_3,HC03_VC52_3
129,mid,HC03_VC51_3,HC03_VC52_2
130,mid,HC03_VC51_4,HC03_VC52_4
131,mid,HC03_VC51_1,HC03_VC52_3
132,mid,HC03_VC51_3,HC03_VC52_3
133,mid,HC03_VC51_1,HC03_VC52_2
134,mid,HC03_VC51_4,HC03_VC52_4
135,mid,HC03_VC51_4,HC03_VC52_1
136,mid,HC03_VC51_1,HC03_VC52_2
137,mid,HC03_VC51_4,HC03_VC52_3
138,mid,HC03_VC51_1,HC03_VC52_2
139,mid,HC03_VC51_1,HC03_VC52_2
140,mid,HC03_VC51_3,HC03_VC52_2
141,mid,HC03_VC51_4,HC03_VC52_4
142,mid,HC03_VC51_3,HC03_VC52_1
143,mid,HC03_VC51_1,HC03_VC52_3
144,mid,HC03_VC51_4,HC03_VC52_1
145,mid,HC03_VC51_1,HC03_VC52_4
146,mid,HC03_VC51_4,HC03_VC52_4
147,mid,HC03_VC51_4,HC03_VC52_2
148,mid,HC03_VC51_1,HC03_VC52_1
149,mid,HC03_VC51_1,HC03_VC52_2
150,mid,HC03_VC51_3,HC03_VC52_4
151,mid,HC03_VC51_4,HC03_VC52_4
152,mid,HC03_VC51_3,HC03_VC52_3
153,mid,HC03_VC51_3,HC03_VC52_2
154,mid,HC03_VC51_2,HC03_VC52_4
155,mid,HC03_VC51_3,HC03_VC52_2
156,mid,HC03_VC51_4,HC03_VC52_4
157,mid,HC03_VC51_2,HC03_VC52_4
158,mid,HC03_VC51_4,HC03_VC52_4
159,mid,HC03_VC51_1,HC03_VC52_1
160,mid,HC03_VC51_2,HC03_VC52_1
161,mid,HC03_VC51_4,HC03_VC52_2
162,mid,HC03_VC51_2,HC03_VC52_2
163,mid,HC03_VC51_4,HC03_VC52_3
164,mid,HC03_VC51_2,HC03_VC52_1
165,mid,HC03_VC51_3,HC03_VC52_1
166,mid,HC03_VC51_1,HC03_VC52_1
167,mid,HC03_VC51_4,HC03_VC52_1
168,mid,HC03_VC51_3,HC03_VC52_3
169,mid,HC03_VC51_2,HC03_VC52_1
170,mid,HC03_VC51_4,HC03_VC52_3
171,mid,HC03_VC51_3,HC03_VC52_2
172,mid,HC03_VC51_2,HC03_VC52_4
173,mid,HC03_VC51_1,HC03_VC52_2
174,mid,HC03_VC51_2,HC03_VC52_1
175,mid,HC03_VC51_1,HC03_VC52_3
176,mid,HC03_VC51_1,HC03_VC52_3
177,mid,HC03_VC51_1,HC03_VC52_4
178,mid,HC03_VC51_1,HC03_VC52_1
179,mid,HC03_VC51_2,HC03_VC52_2
180,mid,HC03_VC51_2,HC03_VC52_3
181,mid,HC03_VC51_2,HC03_VC52_3
182,mid,HC03_VC51_1,HC03_VC52_3
183,mid,HC03_VC51_4,HC03_VC52_4
184,mid,HC03_VC51_4,HC03_VC52_4
185,mid,HC03_VC51_1,HC03_VC52_3
186,mid,HC03_VC51_2,HC03_VC52_3
187,mid,HC03_VC51_4,HC03_VC52_4
188,mid,HC03_VC51_1,HC03_VC52_3
189,mid,HC03_VC51_3,HC03_VC52_2
190,mid,HC03_VC51_1,HC03_VC52_2
191,mid,HC03_VC51_3,HC03_VC52_1
192,mid,HC03_VC51_2,HC03_VC52_1
193,mid,HC03_VC51_1,HC03_VC52_2
194,mid,HC03_VC51_2,HC03_VC52_3
195,mid,HC03_VC51_1,HC03_VC52_3
196,mid,HC03_VC51_2,HC03_VC52_3
197,mid,HC03_VC51_4,HC03_VC52_4
198,mid,HC03_VC51_2,HC03_VC52_3
199,mid,HC03_VC51_1,HC03_VC52_1
200,mid,HC03_VC51_3,HC03_VC52_4
201,mid,HC03_VC51_1,HC03_VC52_2
202,mid,HC03_VC51_1,HC03_VC52_3
203,mid,HC03_VC51_4,HC03_VC52_3
204,mid,HC03_VC51_1,HC03_VC52_4
205,mid,HC03_VC51_3,HC03_VC52_4
206,mid,HC03_VC51_2,HC03_VC52_2
207,mid,HC03_VC51_1,HC03_VC52_3
208,mid,HC03_VC51_3,HC03_VC52_3
209,mid,HC03_VC51_2,HC03_VC52_3
210,mid,HC03_VC51_4,HC03_VC52_1
211,mid,HC03_VC51_2,HC03_VC52_2
212,mid,HC03_VC51_4,HC03_VC52_1
213,mid,HC03_VC51_2,HC03_VC52_2
214,mid,HC03_VC51_3,HC03_VC52_1
215,mid,HC03_VC51_4,HC03_VC52_3
216,mid,HC03_VC51_1,HC03_VC52_2
217,mid,HC03_VC51_2,HC03_VC52_2
218,mid,HC03_VC51_4,HC03_VC52_4
219,mid,HC03_VC51_4,HC03_VC52_4
220,mid,HC03_VC51_1,HC03_VC52_2
221,mid,HC03_VC51_1,HC03_VC52_2
222,mid,HC03_VC51_3,HC03_VC52_3
223,mid,HC03_VC51_4,HC03_VC52_2
224,mid,HC03_VC51_1,HC03_VC52_4
225,mid,HC03_VC51_4,HC03_VC52_4
226,mid,HC03_VC51_4,HC03_VC52_1
227,mid,HC03_VC51_1,HC03_VC52_4
228,mid,HC03_VC51_1,HC03_VC52_3
229,mid,HC03_VC51_2,HC03_VC52_4
230,mid,HC03_VC51_2,HC03_VC52_2
231,mid,HC03_VC51_4,HC03_VC52_2
232,mid,HC03_VC51_4,HC03_VC52_4
233,mid,HC03_VC51_3,HC03_VC52_1
234,mid,HC03_VC51_1,HC03_VC52_3
235,mid,HC03_VC51_4,HC03_VC52_2
236,mid,HC03_VC51_2,HC03_VC52_2
237,mid,HC03_VC51_2,HC03_VC52_2
238,mid,HC03_VC51_1,HC03_VC52_2
239,mid,HC03_VC51_2,HC03_VC52_3
240,mid,HC03_VC51_1,HC03_VC52_3
241,mid,HC03_VC51_1,HC03_VC52_2
242,mid,HC03_VC51_4,HC03_VC52_1
243,mid,HC03_VC51_1,HC03_VC52_2
244,mid,HC03_VC51_1,HC03_VC52_2
245,mid,HC03_VC51_2,HC03_VC52_3
246,mid,HC03_VC51_2,HC03_VC52_2
247,mid,HC03_VC51_3,HC03_VC52_2
248,mid,HC03_VC51_2,HC03_VC52_2
249,mid,HC03_VC51_4,HC03_VC52_1
250,mid,HC03_VC51_3,HC03_VC52_4
251,mid,HC03_VC51_2,HC03_VC52_2
252,mid,HC03_VC51_4,HC03_VC52_1
253,mid,HC03_VC51_3,HC03_VC52_3
254,mid,HC03_VC51_4,HC03_VC52_1
255,mid,HC03_VC51_2,HC03_VC52_2
256,mid,HC03_VC51_2,HC03_VC52_1
257,mid,HC03_VC51_4,HC03_VC52_4
258,mid,HC03_VC51_3,HC03_VC52_4
259,mid,HC03_VC51_4,HC03_VC52_2
260,mid,HC03_VC51_4,HC03_VC52_4
261,mid,HC03_VC51_2,HC03_VC52_3
262,mid,HC03_VC51_1,HC03_VC52_1
263,mid,HC03_VC51_3,HC03_VC52_3
264,mid,HC03_VC51_1,HC03_VC52_2
265,mid,HC03_VC51_1,HC03_VC52_3
266,mid,HC03_VC51_3,HC03_VC52_1
267,mid,HC03_VC51_2,HC03_VC52_1
268,mid,HC03_VC51_1,HC03_VC52_4
269,mid,HC03_VC51_4,HC03_VC52_4
270,mid,HC03_VC51_4,HC03_VC52_4
271,mid,HC03_VC51_1,HC03_VC52_1
272,mid,HC03_VC51_3,HC03_VC52_1
273,mid,HC03_VC51_2,HC03_VC52_4
274,mid,HC03_VC51_1,HC03_VC52_3
275,mid,HC03_VC51_1,HC03_VC52_4
276,mid,HC03_VC51_3,HC03_VC52_1
277,mid,HC03_VC51_4,HC03_VC52_4
278,mid,HC03_VC51_3,HC03_VC52_4
279,mid,HC03_VC51_3,HC03_VC52_2
280,mid,HC03_VC51_1,HC03_VC52_2
281,mid,HC03_VC51_1,HC03_VC52_3
282,mid,HC03_VC51_3,HC03_VC52_1
283,mid,HC03_VC51_4,HC03_VC52_1
284,mid,HC03_VC51_4,HC03_VC52_1
285,mid,HC03_VC51_1,HC03_VC52_3
286,mid,HC03_VC51_3,HC03_VC52_3
287,mid,HC03_VC51_1,HC03_VC52_3
288,mid,HC03_VC51_3,HC03_VC52_2
289,mid,HC03_VC51_3,HC03_VC52_2
290,mid,HC03_VC51_1,HC03_VC52_3
291,mid,HC03_VC51_3,HC03_VC52_4
292,mid,HC03_VC51_2,HC03_VC52_1
293,mid,HC03_VC51_2,HC03_VC52_3
294,mid,HC03_VC51_2,HC03_VC52_1
295,mid,HC03_VC51_3,HC03_VC52_4
296,mid,HC03_VC51_1,HC03_VC52_4
297,mid,HC03_VC51_1,HC03_VC52_3
298,mid,HC03_VC51_1,HC03_VC52_2
299,mid,HC03_VC51_1,HC03_VC52_3
300,mid,HC03_VC51_3,HC03_VC52_2
301,mid,HC03_VC51_3,HC03_VC52_2
302,mid,HC03_VC51_3,HC03_VC52_1
303,mid,HC03_VC51_1,HC03_VC52_3
304,mid,HC03_VC51_3,HC03_VC52_2
305,mid,HC03_VC51_2,HC03_VC52_2
306,mid,HC03_VC51_1,HC03_VC52_3
307,mid,HC03_VC51_2,HC03_VC52_2
308,mid,HC03_VC51_3,HC03_VC52_4
309,mid,HC03_VC51_2,HC03_VC52_1
310,mid,HC03_VC51_2,HC03_VC52_4
311,mid,HC03_VC51_1,HC03_VC52_2
312,mid,HC03_VC51_3,HC03_VC52_1
313,mid,HC03_VC51_4,HC03_VC52_4
314,mid,HC03_VC51_1,HC03_VC52_3
315,mid,HC03_VC51_3,HC03_VC52_1
316,mid,HC03_VC51_4,HC03_VC52_4
317,mid,HC03_VC51_3,HC03_VC52_4
318,mid,HC03_VC51_3,HC03_VC52_1
319,mid,HC03_VC51_3,HC03_VC52_4
320,mid,HC03_VC51_2,HC03_VC52_3
321,mid,HC03_VC51_1,HC03_VC52_3
322,mid,HC03_VC51_1,HC03_VC52_4
323,mid,HC03_VC51_2,HC03_VC52_3
324,mid,HC03_VC51_3,HC03_VC52_1
325,mid,HC03_VC51_2,HC03_VC52_3
326,mid,HC03_VC51_2,HC03_VC52_4
327,mid,HC03_VC51_1,HC03_VC52_2
328,mid,HC03_VC51_2,HC03_VC52_3
329,mid,HC03_VC51_1,HC03_VC52_3
330,mid,HC03_VC51_1,HC03_VC52_2
331,mid,HC03_VC51_1,HC03_VC52_4
332,mid,HC03_VC51_1,HC03_VC52_3
333,mid,HC03_VC51_4,HC03_VC52_3
334,mid,HC03_VC51_2,HC03_VC52_1
335,mid,HC03_VC51_2,HC03_VC52_2
336,mid,HC03_VC51_2,HC03_VC52_4
337,mid,HC03_VC51_1,HC03_VC52_3
338,mid,HC03_VC51_3,HC03_VC52_4
339,mid,HC03_VC51_2,HC03_VC52_2
340,mid,HC03_VC51_1,HC03_VC52_2
341,mid,HC03_VC51_1,HC03_VC52_4
342,mid,HC03_VC51_1,HC03_VC52_3
343,mid,HC03_VC51_1,HC03_VC52_4
344,mid,HC03_VC51_1,HC03_VC52_4
345,mid,HC03_VC51_2,HC03_VC52_1
346,low,HC03_VC51_2,HC03_VC52_2
347,low,HC03_VC51_2,HC03_VC52_2
348,low,HC03_VC51_3,HC03_VC52_2
349,low,HC03_VC51_3,HC03_VC52_1
350,low,HC03_VC51_4,HC03_VC52_4
351,low,HC03_VC51_4,HC03_VC52_1
352,low,HC03_VC51_2,HC03_VC52_3
353,low,HC03_VC51_2,HC03_VC52_2
354,low,HC03_VC51_2,HC03_VC52_1
355,low,HC03_VC51_3,HC03_VC52_4
356,low,HC03_VC51_1,HC03_VC52_4
357,low,HC03_VC51_4,HC03_VC52_2
358,low,HC03_VC51_1,HC03_VC52_3
359,low,HC03_VC51_2,HC03_VC52_2
360,low,HC03_VC51_2,HC03_VC52_1
361,low,HC03_VC51_1,HC03_VC52_4
362,low,HC03_VC51_1,HC03_VC52_3
363,low,HC03_VC51_1,HC03_VC52_2
364,low,HC03_VC51_4,HC03_VC52_1
365,low,HC03_VC51_1,HC03_VC52_1
366,low,HC03_VC51_4,HC03_VC52_4
367,low,HC03_VC51_4,HC03_VC52_1
368,low,HC03_VC51_4,HC03_VC52_3
369,low,HC03_VC51_1,HC03_VC52_2
370,low,HC03_VC51_1,HC03_VC52_3
371,low,HC03_VC51_3,HC03_VC52_4
372,low,HC03_VC51_2,HC03_VC52_2
373,low,HC03_VC51_4,HC03_VC52_1
374,low,HC03_VC51_3,HC03_VC52_4
375,low,HC03_VC51_4,HC03_VC52_1
376,low,HC03_VC51_1,HC03_VC52_2
377,low,HC03_VC51_3,HC03_VC52_1
378,low,HC03_VC51_2,HC03_VC52_2
379,low,HC03_VC51_1,HC03_VC52_3
380,low,HC03_VC51_1,HC03_VC52_2
381,low,HC03_VC51_2,HC03_VC52_3
382,low,HC03_VC51_4,HC03_VC52_1
383,low,HC03_VC51_4,HC03_VC52_3
384,low,HC03_VC51_2,HC03_VC52_4
385,low,HC03_VC51_4,HC03_VC52_4
386,low,HC03_VC51_3,HC03_VC52_2
387,low,HC03_VC51_4,HC03_VC52_1
388,low,HC03_VC51_2,HC03_VC52_2
389,low,HC03_VC51_4,HC03_VC52_4
390,low,HC03_VC51_2,HC03_VC52_2
391,low,HC03_VC51_3,HC03_VC52_4
392,low,HC03_VC51_2,HC03_VC52_4
393,low,HC03_VC51_2,HC03_VC52_2
394,low,HC03_VC51_3,HC03_VC52_3
395,low,HC03_VC51_2,HC03_VC52_3
396,low,HC03_VC51_2,HC03_VC52_3
397,low,HC03_VC51_2,HC03_VC52_1
398,low,HC03_VC51_4,HC03_VC52_4
399,low,HC03_VC51_4,HC03_VC52_4
400,low,HC03_VC51_2,HC03_VC52_1
401,low,HC03_VC51_2,HC03_VC52_4
402,low,HC03_VC51_4,HC03_VC52_1
403,low,HC03_VC51_2,HC03_VC52_3
404,low,HC03_VC51_3,HC03_VC52_1
405,low,HC03_VC51_4,HC03_VC52_1
406,low,HC03_VC51_3,HC03_VC52_4
407,low,HC03_VC51_2,HC03_VC52_4
408,low,HC03_VC51_2,HC03_VC52_4
409,low,HC03_VC51_1,HC03_VC52_3
410,low,HC03_VC51_1,HC03_VC52_3
411,low,HC03_VC51_3,HC03_VC52_4
412,low,HC03_VC51_2,HC03_VC52_4
413,low,HC03_VC51_2,HC03_VC52_3
414,low,HC03_VC51_3,HC03_VC52_2
415,low,HC03_VC51_3,HC03_VC52_3
416,low,HC03_VC51_3,HC03_VC52_3
417,low,HC03_VC51_4,HC03_VC52_1
418,low,HC03_VC51_1,HC03_VC52_1
419,low,HC03_VC51_1,HC03_VC52_4
420,low,HC03_VC51_4,HC03_VC52_4
421,low,HC03_VC51_3,HC03_VC52_1
422,low,HC03_VC51_3,HC03_VC52_3
423,low,HC03_VC51_1,HC03_VC52_4
424,low,HC03_VC51_2,HC03_VC52_3
425,low,HC03_VC51_4,HC03_VC52_1
426,low,HC03_VC51_2,HC03_VC52_1
427,low,HC03_VC51_4,HC03_VC52_3
428,low,HC03_VC51_2,HC03_VC52_4
429,low,HC03_VC51_3,HC03_VC52_1
430,low,HC03_VC51_3,HC03_VC52_3
431,low,HC03_VC51_1,HC03_VC52_2
432,low,HC03_VC51_4,HC03_VC52_1
433,low,HC03_VC51_3,HC03_VC52_3
434,low,HC03_VC51_4,HC03_VC52_4
435,low,HC03_VC51_2,HC03_VC52_2
436,low,HC03_VC51_2,HC03_VC52_3
437,low,HC03_VC51_2,HC03_VC52_3
438,low,HC03_VC51_1,HC03_VC52_4
439,low,HC03_VC51_3,HC03_VC52_1
440,low,HC03_VC51_4,HC03_VC52_2
441,low,HC03_VC51_4,HC03_VC52_2
442,low,HC03_VC51_4,HC03_VC52_4
443,low,HC03_VC51_2,HC03_VC52_2
444,low,HC03_VC51_4,HC03_VC52_1
445,low,HC03_VC51_4,HC03_VC52_3
446,low,HC03_VC51_3,HC03_VC52_2
447,low,HC03_VC51_3,HC03_VC52_2
448,low,HC03_VC51_4,HC03_VC52_1
449,low,HC03_VC51_4,HC03_VC52_1
450,low,HC03_VC51_4,HC03_VC52_1
451,low,HC03_VC51_4,HC03_VC52_4
452,low,HC03_VC51_4,HC03_VC52_2
453,low,HC03_VC51_3,HC03_VC52_3
454,low,HC03_VC51_4,HC03_VC52_2
455,low,HC03_VC51_3,HC03_VC52_1
456,low,HC03_VC51_4,HC03_VC52_2
457,low,HC03_VC51_4,HC03_VC52_4
458,low,HC03_VC51_3,HC03_VC52_3
459,low,HC03_VC51_4,HC03_VC52_3
