,drug,HC03_VC117,HC03_VC118,HC03_VC119,HC03_VC120,HC03_VC121,HC03_VC122,HC03_VC123,HC03_VC124
21,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
22,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
23,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
24,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_2,HC03_VC124_3
25,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
26,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_3
27,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
28,high,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
29,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
30,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_3
31,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_3
32,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
33,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
34,high,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
35,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
36,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_1
37,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
38,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_3
39,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
40,high,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
41,high,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
42,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
43,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_3
44,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
45,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_1,HC03_VC122_3,HC03_VC123_1,HC03_VC124_2
46,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
47,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
48,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_3
49,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
50,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_2
51,high,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
52,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
53,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
54,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
55,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
56,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
57,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
58,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
59,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
60,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
61,high,HC03_VC117_1,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
62,high,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
63,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
64,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_3
65,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
66,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
67,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
68,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
69,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
70,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_1
71,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
72,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
73,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
74,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
75,high,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
76,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
77,high,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_1
78,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
79,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
80,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
81,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
82,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
83,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
84,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
85,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
86,high,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
87,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
88,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_3
89,high,HC03_VC117_2,HC03_VC118_2,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
90,high,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_4,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
91,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_3,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_3
92,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
93,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
94,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
95,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
96,high,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
97,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
98,high,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
99,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
100,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
101,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
102,high,HC03_VC117_2,HC03_VC118_2,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
103,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
104,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
105,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_1
106,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
107,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
108,high,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
109,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
110,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
111,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
112,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
113,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
114,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
115,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
116,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_3
117,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
118,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_1
119,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
120,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_1
121,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
122,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
123,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_3
124,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
125,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
126,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
127,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
128,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
129,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_1
130,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_3
131,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
132,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_3
133,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_4,HC03_VC123_1,HC03_VC124_1
134,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_2,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_1,HC03_VC124_3
135,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
136,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
137,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_1
138,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
139,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
140,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
141,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
142,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
143,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
144,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
145,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
146,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_1,HC03_VC124_3
147,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
148,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
149,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
150,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
151,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_3
152,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
153,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
154,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
155,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_1
156,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
157,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
158,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
159,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
160,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
161,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
162,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_2
163,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_1,HC03_VC124_1
