,drug,HC03_VC03,HC03_VC04,HC03_VC06,HC03_VC07,HC03_VC08,HC03_VC09,HC03_VC10,HC03_VC11,HC03_VC12,HC03_VC13,HC03_VC14,HC03_VC15,HC03_VC17,HC03_VC18
10,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_3,HC03_VC09_3,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_1,HC03_VC17_4,HC03_VC18_1
11,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_1,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
12,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_2,HC03_VC09_3,HC03_VC10_2,HC03_VC11_2,HC03_VC12_1,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_2,HC03_VC18_3
13,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_2,HC03_VC07_4,HC03_VC08_2,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1,HC03_VC13_2,HC03_VC14_2,HC03_VC15_4,HC03_VC17_2,HC03_VC18_4
14,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_4,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_4,HC03_VC18_2
15,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_3,HC03_VC18_3
16,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_4,HC03_VC07_3,HC03_VC08_4,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_4,HC03_VC18_2
17,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_3,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_2,HC03_VC18_3
18,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2,HC03_VC13_3,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_2
19,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_4,HC03_VC18_4
20,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_3,HC03_VC18_4
21,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_3,HC03_VC10_4,HC03_VC11_2,HC03_VC12_3,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_2,HC03_VC18_2
22,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_4,HC03_VC07_3,HC03_VC08_4,HC03_VC09_3,HC03_VC10_4,HC03_VC11_2,HC03_VC12_3,HC03_VC13_2,HC03_VC14_3,HC03_VC15_2,HC03_VC17_4,HC03_VC18_2
23,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_2,HC03_VC15_1,HC03_VC17_2,HC03_VC18_2
24,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_4,HC03_VC10_4,HC03_VC11_3,HC03_VC12_3,HC03_VC13_2,HC03_VC14_3,HC03_VC15_2,HC03_VC17_3,HC03_VC18_2
25,high,HC03_VC03_4,HC03_VC04_1,HC03_VC06_1,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_4,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_2
26,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_1,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_4,HC03_VC12_4,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_3,HC03_VC18_2
27,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_3,HC03_VC10_3,HC03_VC11_1,HC03_VC12_2,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_2,HC03_VC18_2
28,high,HC03_VC03_4,HC03_VC04_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_3,HC03_VC10_4,HC03_VC11_2,HC03_VC12_3,HC03_VC13_4,HC03_VC14_4,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
29,high,HC03_VC03_4,HC03_VC04_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_4,HC03_VC10_4,HC03_VC11_3,HC03_VC12_4,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_3,HC03_VC18_3
30,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_3,HC03_VC11_2,HC03_VC12_3,HC03_VC13_3,HC03_VC14_2,HC03_VC15_3,HC03_VC17_3,HC03_VC18_3
31,high,HC03_VC03_1,HC03_VC04_3,HC03_VC06_1,HC03_VC07_3,HC03_VC08_2,HC03_VC09_3,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_3,HC03_VC15_3,HC03_VC17_2,HC03_VC18_3
32,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_1,HC03_VC07_2,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_1,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_1,HC03_VC18_2
33,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_4,HC03_VC07_3,HC03_VC08_3,HC03_VC09_3,HC03_VC10_4,HC03_VC11_1,HC03_VC12_3,HC03_VC13_3,HC03_VC14_2,HC03_VC15_2,HC03_VC17_3,HC03_VC18_3
34,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_2,HC03_VC12_3,HC03_VC13_1,HC03_VC14_2,HC03_VC15_3,HC03_VC17_3,HC03_VC18_3
35,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_4,HC03_VC18_3
36,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_2,HC03_VC15_3,HC03_VC17_3,HC03_VC18_3
37,high,HC03_VC03_3,HC03_VC04_1,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_4,HC03_VC10_4,HC03_VC11_1,HC03_VC12_4,HC03_VC13_3,HC03_VC14_3,HC03_VC15_1,HC03_VC17_1,HC03_VC18_2
38,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_4,HC03_VC07_3,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_4,HC03_VC13_1,HC03_VC14_2,HC03_VC15_1,HC03_VC17_4,HC03_VC18_1
39,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_4,HC03_VC18_4
40,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_1,HC03_VC07_2,HC03_VC08_1,HC03_VC09_3,HC03_VC10_3,HC03_VC11_3,HC03_VC12_3,HC03_VC13_2,HC03_VC14_3,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
41,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_3,HC03_VC13_4,HC03_VC14_3,HC03_VC15_2,HC03_VC17_3,HC03_VC18_2
42,high,HC03_VC03_4,HC03_VC04_1,HC03_VC06_1,HC03_VC07_2,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
43,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2,HC03_VC13_3,HC03_VC14_2,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
44,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
45,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_1,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_2,HC03_VC15_2,HC03_VC17_1,HC03_VC18_2
46,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_1,HC03_VC07_2,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_3,HC03_VC12_1,HC03_VC13_4,HC03_VC14_3,HC03_VC15_2,HC03_VC17_1,HC03_VC18_3
47,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_2,HC03_VC07_3,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
48,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_1,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
49,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_3,HC03_VC12_3,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
50,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_4,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_4,HC03_VC11_4,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_4,HC03_VC18_1
51,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_2
52,high,HC03_VC03_3,HC03_VC04_1,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_2,HC03_VC13_4,HC03_VC14_3,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
53,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_3,HC03_VC10_1,HC03_VC11_3,HC03_VC12_3,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_2,HC03_VC18_3
54,high,HC03_VC03_2,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_3,HC03_VC11_4,HC03_VC12_3,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_4,HC03_VC18_4
55,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
56,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_2,HC03_VC11_3,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
57,high,HC03_VC03_1,HC03_VC04_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_4,HC03_VC10_2,HC03_VC11_4,HC03_VC12_4,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
58,high,HC03_VC03_1,HC03_VC04_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_2
59,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_4,HC03_VC10_2,HC03_VC11_4,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_2
60,high,HC03_VC03_1,HC03_VC04_2,HC03_VC06_1,HC03_VC07_2,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2,HC03_VC13_3,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
61,high,HC03_VC03_1,HC03_VC04_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_3,HC03_VC10_4,HC03_VC11_4,HC03_VC12_4,HC03_VC13_4,HC03_VC14_4,HC03_VC15_4,HC03_VC17_2,HC03_VC18_3
62,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
63,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_3,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_2
64,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_4,HC03_VC18_2
65,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_4,HC03_VC18_4
66,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_3,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_4,HC03_VC11_1,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_3,HC03_VC18_2
67,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_3,HC03_VC09_3,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_3,HC03_VC18_4
68,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_1,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
69,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_1,HC03_VC10_2,HC03_VC11_4,HC03_VC12_4,HC03_VC13_2,HC03_VC14_2,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
70,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_3,HC03_VC18_3
71,high,HC03_VC03_2,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_3,HC03_VC11_3,HC03_VC12_3,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_4,HC03_VC18_1
72,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_2,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_2,HC03_VC18_4
73,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_4,HC03_VC10_4,HC03_VC11_2,HC03_VC12_4,HC03_VC13_3,HC03_VC14_3,HC03_VC15_1,HC03_VC17_1,HC03_VC18_1
74,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_3,HC03_VC07_1,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_4,HC03_VC12_4,HC03_VC13_3,HC03_VC14_2,HC03_VC15_1,HC03_VC17_3,HC03_VC18_2
75,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_2,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_4,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
76,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2,HC03_VC13_3,HC03_VC14_2,HC03_VC15_1,HC03_VC17_2,HC03_VC18_1
77,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_4,HC03_VC10_4,HC03_VC11_2,HC03_VC12_2,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
78,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_4,HC03_VC17_2,HC03_VC18_4
79,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_3,HC03_VC13_2,HC03_VC14_2,HC03_VC15_3,HC03_VC17_3,HC03_VC18_1
80,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_3,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_4,HC03_VC18_4
81,high,HC03_VC03_3,HC03_VC04_1,HC03_VC06_1,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_4,HC03_VC14_4,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
82,high,HC03_VC03_2,HC03_VC04_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_3,HC03_VC18_4
83,high,HC03_VC03_3,HC03_VC04_3,HC03_VC06_1,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_1,HC03_VC13_2,HC03_VC14_3,HC03_VC15_4,HC03_VC17_1,HC03_VC18_4
84,high,HC03_VC03_4,HC03_VC04_3,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
85,high,HC03_VC03_4,HC03_VC04_1,HC03_VC06_4,HC03_VC07_1,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_2,HC03_VC12_3,HC03_VC13_4,HC03_VC14_3,HC03_VC15_4,HC03_VC17_4,HC03_VC18_1
86,high,HC03_VC03_4,HC03_VC04_3,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_2
87,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_3,HC03_VC12_3,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_3,HC03_VC18_1
88,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
89,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_4,HC03_VC13_3,HC03_VC14_4,HC03_VC15_3,HC03_VC17_3,HC03_VC18_2
90,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_3
91,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_3,HC03_VC09_2,HC03_VC10_2,HC03_VC11_4,HC03_VC12_4,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_3,HC03_VC18_1
92,high,HC03_VC03_2,HC03_VC04_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_3,HC03_VC12_1,HC03_VC13_4,HC03_VC14_4,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
93,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_3,HC03_VC09_3,HC03_VC10_2,HC03_VC11_1,HC03_VC12_3,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_3,HC03_VC18_1
94,high,HC03_VC03_4,HC03_VC04_2,HC03_VC06_3,HC03_VC07_1,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_4,HC03_VC12_4,HC03_VC13_3,HC03_VC14_4,HC03_VC15_2,HC03_VC17_3,HC03_VC18_2
