,drug,HC03_VC166,HC03_VC167,HC03_VC168,HC03_VC170,HC03_VC171,HC03_VC172,HC03_VC173,HC03_VC174,HC03_VC175,HC03_VC176,HC03_VC177,HC03_VC178
21,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_3,HC03_VC175_3,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
22,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_4,HC03_VC173_3,HC03_VC174_3,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
23,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_4,HC03_VC174_3,HC03_VC175_4,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
24,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_4,HC03_VC172_3,HC03_VC173_2,HC03_VC174_2,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
25,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_3,HC03_VC173_3,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
26,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
27,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_3,HC03_VC174_3,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
28,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_4,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_1,HC03_VC177_1,HC03_VC178_2
29,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
30,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_1,HC03_VC178_2
31,high,HC03_VC166_1,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_3,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
32,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_2,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
33,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
34,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
35,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_2,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
36,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_1,HC03_VC172_1,HC03_VC173_3,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_1,HC03_VC178_1
37,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
38,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_2,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
39,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_2,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
40,high,HC03_VC166_2,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_2,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
41,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_4,HC03_VC172_4,HC03_VC173_2,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
42,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
43,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
44,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_2,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
45,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_4,HC03_VC171_1,HC03_VC172_4,HC03_VC173_2,HC03_VC174_2,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
46,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_2,HC03_VC172_2,HC03_VC173_3,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
47,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
48,high,HC03_VC166_2,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
49,high,HC03_VC166_2,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_2,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
50,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_4,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
51,high,HC03_VC166_4,HC03_VC167_2,HC03_VC168_3,HC03_VC170_1,HC03_VC171_2,HC03_VC172_1,HC03_VC173_3,HC03_VC174_2,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
52,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_2,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
53,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_3,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
54,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_3,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
55,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
56,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_3,HC03_VC171_3,HC03_VC172_4,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
57,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_2,HC03_VC171_2,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
58,high,HC03_VC166_1,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_3,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
59,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_3,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
60,high,HC03_VC166_1,HC03_VC167_2,HC03_VC168_2,HC03_VC170_3,HC03_VC171_2,HC03_VC172_3,HC03_VC173_2,HC03_VC174_2,HC03_VC175_1,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
61,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
62,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
63,high,HC03_VC166_2,HC03_VC167_1,HC03_VC168_4,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
64,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_2,HC03_VC172_3,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_2,HC03_VC178_1
65,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_2
66,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_3,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_4,HC03_VC174_4,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
67,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
68,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
69,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_2,HC03_VC174_2,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
70,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_3,HC03_VC174_3,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
71,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_3,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_2,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
72,high,HC03_VC166_1,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_3,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
73,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_3,HC03_VC171_4,HC03_VC172_4,HC03_VC173_2,HC03_VC174_1,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
74,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_3,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
75,high,HC03_VC166_4,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_2,HC03_VC174_1,HC03_VC175_1,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
76,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
77,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_2,HC03_VC174_1,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
78,high,HC03_VC166_1,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
79,high,HC03_VC166_2,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_2,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
80,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_2,HC03_VC172_1,HC03_VC173_2,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_2
81,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_3,HC03_VC173_3,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
82,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_1,HC03_VC172_1,HC03_VC173_3,HC03_VC174_3,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
83,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
84,high,HC03_VC166_4,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_3,HC03_VC174_3,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
85,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_4,HC03_VC173_4,HC03_VC174_2,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
86,high,HC03_VC166_4,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_4,HC03_VC174_3,HC03_VC175_2,HC03_VC176_3,HC03_VC177_1,HC03_VC178_2
87,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_1,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
88,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_1,HC03_VC177_3,HC03_VC178_2
89,high,HC03_VC166_2,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_3,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
90,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
91,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_2,HC03_VC173_3,HC03_VC174_2,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
92,high,HC03_VC166_2,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_2,HC03_VC175_3,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
93,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_2,HC03_VC177_2,HC03_VC178_2
94,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_4,HC03_VC173_3,HC03_VC174_2,HC03_VC175_4,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
95,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_1,HC03_VC171_2,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_2
96,high,HC03_VC166_1,HC03_VC167_4,HC03_VC168_1,HC03_VC170_1,HC03_VC171_2,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
97,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_1,HC03_VC170_1,HC03_VC171_1,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_2,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
98,high,HC03_VC166_4,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_2,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
99,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_4,HC03_VC172_3,HC03_VC173_4,HC03_VC174_4,HC03_VC175_4,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
100,high,HC03_VC166_1,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_3,HC03_VC172_2,HC03_VC173_2,HC03_VC174_1,HC03_VC175_2,HC03_VC176_2,HC03_VC177_1,HC03_VC178_1
101,high,HC03_VC166_3,HC03_VC167_1,HC03_VC168_4,HC03_VC170_4,HC03_VC171_3,HC03_VC172_3,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
102,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_4,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_3,HC03_VC176_3,HC03_VC177_2,HC03_VC178_2
103,high,HC03_VC166_3,HC03_VC167_4,HC03_VC168_1,HC03_VC170_2,HC03_VC171_1,HC03_VC172_2,HC03_VC173_1,HC03_VC174_1,HC03_VC175_3,HC03_VC176_3,HC03_VC177_3,HC03_VC178_2
104,high,HC03_VC166_3,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_3,HC03_VC173_1,HC03_VC174_1,HC03_VC175_2,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
105,high,HC03_VC166_1,HC03_VC167_3,HC03_VC168_2,HC03_VC170_3,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_1
106,high,HC03_VC166_2,HC03_VC167_2,HC03_VC168_3,HC03_VC170_2,HC03_VC171_3,HC03_VC172_3,HC03_VC173_3,HC03_VC174_2,HC03_VC175_1,HC03_VC176_1,HC03_VC177_2,HC03_VC178_1
107,high,HC03_VC166_2,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_1,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_2,HC03_VC176_2,HC03_VC177_2,HC03_VC178_1
108,high,HC03_VC166_4,HC03_VC167_1,HC03_VC168_4,HC03_VC170_2,HC03_VC171_3,HC03_VC172_1,HC03_VC173_4,HC03_VC174_4,HC03_VC175_3,HC03_VC176_2,HC03_VC177_3,HC03_VC178_2
109,high,HC03_VC166_3,HC03_VC167_2,HC03_VC168_3,HC03_VC170_3,HC03_VC171_3,HC03_VC172_3,HC03_VC173_2,HC03_VC174_1,HC03_VC175_4,HC03_VC176_3,HC03_VC177_2,HC03_VC178_1
110,high,HC03_VC166_1,HC03_VC167_3,HC03_VC168_2,HC03_VC170_2,HC03_VC171_2,HC03_VC172_2,HC03_VC173_2,HC03_VC174_1,HC03_VC175_1,HC03_VC176_1,HC03_VC177_1,HC03_VC178_2
