,drug,HC03_VC35,HC03_VC36,HC03_VC37,HC03_VC38,HC03_VC39,HC03_VC40,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC46,HC03_VC47
12,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_1,HC03_VC38_2,HC03_VC39_4,HC03_VC40_3,HC03_VC42_2,HC03_VC43_2,HC03_VC44_2,HC03_VC45_4,HC03_VC46_3,HC03_VC47_3
13,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_3,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_3,HC03_VC47_3
14,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_4,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_2,HC03_VC47_2
15,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_2,HC03_VC40_2,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_3,HC03_VC47_1
16,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_3,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_2,HC03_VC43_4,HC03_VC44_3,HC03_VC45_3,HC03_VC46_1,HC03_VC47_1
17,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_2,HC03_VC38_3,HC03_VC39_3,HC03_VC40_4,HC03_VC42_2,HC03_VC43_2,HC03_VC44_1,HC03_VC45_4,HC03_VC46_4,HC03_VC47_4
18,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_3,HC03_VC39_1,HC03_VC40_1,HC03_VC42_3,HC03_VC43_2,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
19,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_2,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_4,HC03_VC47_2
20,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_3,HC03_VC40_1,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_3,HC03_VC47_1
21,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_2,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_4,HC03_VC44_2,HC03_VC45_1,HC03_VC46_3,HC03_VC47_2
22,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_2,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
23,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_3,HC03_VC38_1,HC03_VC39_2,HC03_VC40_2,HC03_VC42_3,HC03_VC43_3,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
24,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_2,HC03_VC38_3,HC03_VC39_2,HC03_VC40_2,HC03_VC42_3,HC03_VC43_3,HC03_VC44_2,HC03_VC45_3,HC03_VC46_2,HC03_VC47_2
25,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_3,HC03_VC38_1,HC03_VC39_4,HC03_VC40_2,HC03_VC42_4,HC03_VC43_3,HC03_VC44_2,HC03_VC45_2,HC03_VC46_1,HC03_VC47_4
26,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_2,HC03_VC38_2,HC03_VC39_4,HC03_VC40_3,HC03_VC42_3,HC03_VC43_3,HC03_VC44_2,HC03_VC45_4,HC03_VC46_3,HC03_VC47_3
27,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_2,HC03_VC38_1,HC03_VC39_3,HC03_VC40_3,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_3,HC03_VC46_3,HC03_VC47_2
28,high,HC03_VC35_4,HC03_VC36_3,HC03_VC37_1,HC03_VC38_4,HC03_VC39_2,HC03_VC40_4,HC03_VC42_4,HC03_VC43_4,HC03_VC44_2,HC03_VC45_4,HC03_VC46_2,HC03_VC47_1
29,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_2,HC03_VC38_1,HC03_VC39_3,HC03_VC40_1,HC03_VC42_4,HC03_VC43_2,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_4
30,high,HC03_VC35_2,HC03_VC36_1,HC03_VC37_3,HC03_VC38_1,HC03_VC39_4,HC03_VC40_3,HC03_VC42_2,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_2,HC03_VC47_3
31,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_3,HC03_VC39_3,HC03_VC40_1,HC03_VC42_1,HC03_VC43_2,HC03_VC44_3,HC03_VC45_2,HC03_VC46_3,HC03_VC47_1
32,high,HC03_VC35_2,HC03_VC36_4,HC03_VC37_2,HC03_VC38_1,HC03_VC39_1,HC03_VC40_2,HC03_VC42_2,HC03_VC43_3,HC03_VC44_3,HC03_VC45_2,HC03_VC46_2,HC03_VC47_2
33,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_2,HC03_VC38_4,HC03_VC39_1,HC03_VC40_1,HC03_VC42_3,HC03_VC43_4,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
34,high,HC03_VC35_1,HC03_VC36_2,HC03_VC37_3,HC03_VC38_4,HC03_VC39_2,HC03_VC40_2,HC03_VC42_1,HC03_VC43_2,HC03_VC44_3,HC03_VC45_4,HC03_VC46_3,HC03_VC47_2
35,high,HC03_VC35_4,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_2,HC03_VC42_4,HC03_VC43_2,HC03_VC44_3,HC03_VC45_1,HC03_VC46_2,HC03_VC47_3
36,high,HC03_VC35_4,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_4,HC03_VC40_1,HC03_VC42_4,HC03_VC43_3,HC03_VC44_3,HC03_VC45_4,HC03_VC46_1,HC03_VC47_1
37,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_2,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_4,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_4
38,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_3,HC03_VC38_4,HC03_VC39_2,HC03_VC40_1,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_4,HC03_VC46_2,HC03_VC47_2
39,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_2,HC03_VC47_1
40,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_2,HC03_VC38_1,HC03_VC39_2,HC03_VC40_3,HC03_VC42_2,HC03_VC43_2,HC03_VC44_2,HC03_VC45_2,HC03_VC46_4,HC03_VC47_2
41,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_1,HC03_VC38_1,HC03_VC39_2,HC03_VC40_4,HC03_VC42_2,HC03_VC43_4,HC03_VC44_1,HC03_VC45_1,HC03_VC46_1,HC03_VC47_4
42,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_3,HC03_VC38_1,HC03_VC39_3,HC03_VC40_1,HC03_VC42_4,HC03_VC43_4,HC03_VC44_2,HC03_VC45_4,HC03_VC46_3,HC03_VC47_1
43,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_1,HC03_VC39_2,HC03_VC40_3,HC03_VC42_3,HC03_VC43_4,HC03_VC44_2,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
44,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_3,HC03_VC38_4,HC03_VC39_2,HC03_VC40_3,HC03_VC42_3,HC03_VC43_2,HC03_VC44_4,HC03_VC45_2,HC03_VC46_1,HC03_VC47_1
45,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_4,HC03_VC38_3,HC03_VC39_4,HC03_VC40_1,HC03_VC42_4,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
46,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_2,HC03_VC38_3,HC03_VC39_3,HC03_VC40_2,HC03_VC42_2,HC03_VC43_2,HC03_VC44_3,HC03_VC45_3,HC03_VC46_3,HC03_VC47_2
47,high,HC03_VC35_4,HC03_VC36_3,HC03_VC37_3,HC03_VC38_1,HC03_VC39_2,HC03_VC40_2,HC03_VC42_4,HC03_VC43_4,HC03_VC44_2,HC03_VC45_1,HC03_VC46_2,HC03_VC47_1
48,high,HC03_VC35_2,HC03_VC36_4,HC03_VC37_2,HC03_VC38_2,HC03_VC39_2,HC03_VC40_1,HC03_VC42_2,HC03_VC43_4,HC03_VC44_2,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
49,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_2,HC03_VC38_1,HC03_VC39_3,HC03_VC40_4,HC03_VC42_2,HC03_VC43_2,HC03_VC44_1,HC03_VC45_2,HC03_VC46_4,HC03_VC47_4
50,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_3,HC03_VC38_4,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_2,HC03_VC44_2,HC03_VC45_3,HC03_VC46_3,HC03_VC47_2
51,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_4,HC03_VC38_4,HC03_VC39_2,HC03_VC40_1,HC03_VC42_4,HC03_VC43_3,HC03_VC44_4,HC03_VC45_3,HC03_VC46_1,HC03_VC47_1
52,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_1,HC03_VC38_4,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_4,HC03_VC44_3,HC03_VC45_2,HC03_VC46_1,HC03_VC47_1
53,high,HC03_VC35_2,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_3,HC03_VC40_1,HC03_VC42_2,HC03_VC43_2,HC03_VC44_2,HC03_VC45_3,HC03_VC46_4,HC03_VC47_2
54,high,HC03_VC35_2,HC03_VC36_1,HC03_VC37_4,HC03_VC38_4,HC03_VC39_4,HC03_VC40_4,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_4,HC03_VC47_4
55,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_3,HC03_VC38_2,HC03_VC39_2,HC03_VC40_1,HC03_VC42_2,HC03_VC43_3,HC03_VC44_4,HC03_VC45_2,HC03_VC46_2,HC03_VC47_1
56,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_4,HC03_VC39_3,HC03_VC40_3,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_2,HC03_VC47_3
57,high,HC03_VC35_1,HC03_VC36_4,HC03_VC37_1,HC03_VC38_4,HC03_VC39_4,HC03_VC40_4,HC03_VC42_1,HC03_VC43_3,HC03_VC44_1,HC03_VC45_4,HC03_VC46_4,HC03_VC47_4
58,high,HC03_VC35_1,HC03_VC36_2,HC03_VC37_3,HC03_VC38_2,HC03_VC39_2,HC03_VC40_2,HC03_VC42_1,HC03_VC43_2,HC03_VC44_3,HC03_VC45_2,HC03_VC46_2,HC03_VC47_1
59,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_1,HC03_VC38_4,HC03_VC39_2,HC03_VC40_2,HC03_VC42_3,HC03_VC43_4,HC03_VC44_1,HC03_VC45_4,HC03_VC46_2,HC03_VC47_2
60,high,HC03_VC35_1,HC03_VC36_3,HC03_VC37_2,HC03_VC38_2,HC03_VC39_3,HC03_VC40_3,HC03_VC42_1,HC03_VC43_2,HC03_VC44_2,HC03_VC45_2,HC03_VC46_4,HC03_VC47_2
61,high,HC03_VC35_1,HC03_VC36_2,HC03_VC37_2,HC03_VC38_3,HC03_VC39_3,HC03_VC40_4,HC03_VC42_1,HC03_VC43_2,HC03_VC44_2,HC03_VC45_3,HC03_VC46_3,HC03_VC47_4
62,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_3,HC03_VC39_1,HC03_VC40_2,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_3,HC03_VC46_1,HC03_VC47_1
63,high,HC03_VC35_2,HC03_VC36_4,HC03_VC37_1,HC03_VC38_2,HC03_VC39_2,HC03_VC40_2,HC03_VC42_2,HC03_VC43_4,HC03_VC44_2,HC03_VC45_1,HC03_VC46_2,HC03_VC47_1
64,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_1,HC03_VC39_1,HC03_VC40_1,HC03_VC42_2,HC03_VC43_4,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
65,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_4,HC03_VC39_3,HC03_VC40_3,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_4,HC03_VC47_3
66,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_2,HC03_VC47_3
67,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_3,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_3,HC03_VC47_2
68,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_3,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_4,HC03_VC47_1
69,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_4,HC03_VC39_1,HC03_VC40_3,HC03_VC42_3,HC03_VC43_4,HC03_VC44_1,HC03_VC45_2,HC03_VC46_1,HC03_VC47_4
70,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_2,HC03_VC47_2
71,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_3,HC03_VC38_2,HC03_VC39_2,HC03_VC40_2,HC03_VC42_2,HC03_VC43_2,HC03_VC44_4,HC03_VC45_3,HC03_VC46_1,HC03_VC47_1
72,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_3,HC03_VC39_4,HC03_VC40_2,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_3,HC03_VC46_3,HC03_VC47_2
73,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_1,HC03_VC38_2,HC03_VC39_3,HC03_VC40_3,HC03_VC42_3,HC03_VC43_4,HC03_VC44_1,HC03_VC45_1,HC03_VC46_2,HC03_VC47_2
74,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_1,HC03_VC38_4,HC03_VC39_4,HC03_VC40_1,HC03_VC42_4,HC03_VC43_4,HC03_VC44_2,HC03_VC45_2,HC03_VC46_1,HC03_VC47_3
75,high,HC03_VC35_4,HC03_VC36_3,HC03_VC37_3,HC03_VC38_4,HC03_VC39_4,HC03_VC40_1,HC03_VC42_4,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_4,HC03_VC47_1
76,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_2,HC03_VC42_4,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_4
77,high,HC03_VC35_2,HC03_VC36_4,HC03_VC37_1,HC03_VC38_2,HC03_VC39_1,HC03_VC40_2,HC03_VC42_2,HC03_VC43_4,HC03_VC44_2,HC03_VC45_2,HC03_VC46_1,HC03_VC47_3
78,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
79,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_2,HC03_VC38_3,HC03_VC39_3,HC03_VC40_3,HC03_VC42_2,HC03_VC43_4,HC03_VC44_1,HC03_VC45_3,HC03_VC46_2,HC03_VC47_1
80,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_3,HC03_VC39_4,HC03_VC40_4,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_4,HC03_VC47_4
81,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_1,HC03_VC42_3,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
82,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_4,HC03_VC38_1,HC03_VC39_3,HC03_VC40_1,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_4,HC03_VC47_1
83,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_3,HC03_VC39_3,HC03_VC40_1,HC03_VC42_3,HC03_VC43_4,HC03_VC44_3,HC03_VC45_3,HC03_VC46_2,HC03_VC47_1
84,high,HC03_VC35_4,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_3,HC03_VC42_4,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
85,high,HC03_VC35_4,HC03_VC36_3,HC03_VC37_1,HC03_VC38_4,HC03_VC39_3,HC03_VC40_3,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_4,HC03_VC46_3,HC03_VC47_1
86,high,HC03_VC35_4,HC03_VC36_2,HC03_VC37_3,HC03_VC38_2,HC03_VC39_1,HC03_VC40_3,HC03_VC42_4,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_4
87,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_2,HC03_VC38_2,HC03_VC39_2,HC03_VC40_3,HC03_VC42_3,HC03_VC43_4,HC03_VC44_1,HC03_VC45_2,HC03_VC46_2,HC03_VC47_4
88,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_2,HC03_VC38_2,HC03_VC39_1,HC03_VC40_1,HC03_VC42_3,HC03_VC43_4,HC03_VC44_3,HC03_VC45_1,HC03_VC46_2,HC03_VC47_2
89,high,HC03_VC35_2,HC03_VC36_4,HC03_VC37_2,HC03_VC38_4,HC03_VC39_1,HC03_VC40_1,HC03_VC42_2,HC03_VC43_3,HC03_VC44_2,HC03_VC45_4,HC03_VC46_1,HC03_VC47_2
90,high,HC03_VC35_4,HC03_VC36_1,HC03_VC37_4,HC03_VC38_4,HC03_VC39_3,HC03_VC40_2,HC03_VC42_4,HC03_VC43_2,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
91,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_1,HC03_VC38_3,HC03_VC39_3,HC03_VC40_2,HC03_VC42_3,HC03_VC43_4,HC03_VC44_1,HC03_VC45_2,HC03_VC46_3,HC03_VC47_2
92,high,HC03_VC35_2,HC03_VC36_2,HC03_VC37_4,HC03_VC38_2,HC03_VC39_3,HC03_VC40_1,HC03_VC42_2,HC03_VC43_3,HC03_VC44_1,HC03_VC45_3,HC03_VC46_4,HC03_VC47_1
93,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_2,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
94,high,HC03_VC35_4,HC03_VC36_3,HC03_VC37_1,HC03_VC38_2,HC03_VC39_4,HC03_VC40_3,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_2,HC03_VC46_3,HC03_VC47_3
95,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_3,HC03_VC39_3,HC03_VC40_1,HC03_VC42_3,HC03_VC43_3,HC03_VC44_3,HC03_VC45_2,HC03_VC46_1,HC03_VC47_1
96,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_2,HC03_VC40_4,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_3,HC03_VC47_4
97,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_3,HC03_VC38_4,HC03_VC39_1,HC03_VC40_3,HC03_VC42_3,HC03_VC43_3,HC03_VC44_4,HC03_VC45_3,HC03_VC46_1,HC03_VC47_1
98,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_1,HC03_VC38_2,HC03_VC39_2,HC03_VC40_2,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_2,HC03_VC46_3,HC03_VC47_2
99,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_1,HC03_VC38_4,HC03_VC39_4,HC03_VC40_2,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_4,HC03_VC46_2,HC03_VC47_2
100,high,HC03_VC35_1,HC03_VC36_2,HC03_VC37_3,HC03_VC38_3,HC03_VC39_2,HC03_VC40_2,HC03_VC42_1,HC03_VC43_2,HC03_VC44_3,HC03_VC45_3,HC03_VC46_3,HC03_VC47_1
101,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_4,HC03_VC40_1,HC03_VC42_4,HC03_VC43_4,HC03_VC44_1,HC03_VC45_3,HC03_VC46_1,HC03_VC47_4
102,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_3,HC03_VC38_2,HC03_VC39_1,HC03_VC40_1,HC03_VC42_2,HC03_VC43_3,HC03_VC44_2,HC03_VC45_2,HC03_VC46_3,HC03_VC47_2
103,high,HC03_VC35_3,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_4,HC03_VC40_4,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_4,HC03_VC47_4
104,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
105,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_4,HC03_VC39_4,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_4,HC03_VC46_4,HC03_VC47_3
106,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_2,HC03_VC38_4,HC03_VC39_3,HC03_VC40_2,HC03_VC42_2,HC03_VC43_3,HC03_VC44_1,HC03_VC45_4,HC03_VC46_3,HC03_VC47_2
107,high,HC03_VC35_2,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_3,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
108,high,HC03_VC35_4,HC03_VC36_4,HC03_VC37_3,HC03_VC38_2,HC03_VC39_3,HC03_VC40_1,HC03_VC42_4,HC03_VC43_4,HC03_VC44_2,HC03_VC45_4,HC03_VC46_2,HC03_VC47_1
109,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_3,HC03_VC44_3,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
110,high,HC03_VC35_1,HC03_VC36_2,HC03_VC37_2,HC03_VC38_2,HC03_VC39_4,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_2,HC03_VC45_2,HC03_VC46_4,HC03_VC47_3
