,drug,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80
35,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
36,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_4
37,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
38,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
39,high,HC03_VC75_1,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
40,high,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
41,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
42,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
43,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
44,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_4,HC03_VC80_2
45,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
46,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
47,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
48,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
49,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
50,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
51,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
52,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
53,high,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
54,high,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
55,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
56,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
57,high,HC03_VC75_1,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
58,high,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
59,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
60,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
61,high,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
62,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_4,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
63,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
64,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
65,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
66,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
67,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
68,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
69,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_2
70,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
71,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
72,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
73,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
74,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
75,high,HC03_VC75_4,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
76,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
77,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
78,high,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
79,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
80,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
81,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
82,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
83,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
84,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_4,HC03_VC80_1
85,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
86,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
87,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
88,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
89,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
90,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_1,HC03_VC80_2
91,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
92,high,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
93,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
94,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
95,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
96,high,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
97,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
98,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
99,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
100,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
101,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
102,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
103,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
104,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
105,high,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
106,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
107,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_4,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
108,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
109,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
110,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
111,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
112,high,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
113,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
114,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
115,high,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
116,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_2
117,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
118,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
119,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
120,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
121,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
122,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
123,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
124,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
125,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
126,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
127,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
128,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
129,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
130,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
131,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
132,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
133,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_4,HC03_VC80_2
134,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_2,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
135,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_3
136,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
137,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
138,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
139,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
140,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
141,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_1,HC03_VC80_4
142,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
143,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
144,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
145,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
146,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_4
147,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
148,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
149,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
150,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
151,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_4,HC03_VC80_2
152,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
153,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_2
154,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
155,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
156,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
157,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
158,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
159,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
160,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_4,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
161,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_4,HC03_VC80_4
162,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
163,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
164,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
165,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
166,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
167,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
168,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
169,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_3
170,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
171,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
172,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
173,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
174,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
175,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
176,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_4,HC03_VC80_2
177,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
178,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
179,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_4,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
180,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
181,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
182,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
183,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
184,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
185,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
186,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
187,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
188,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
189,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
190,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
191,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
192,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
193,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
194,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
195,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
196,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
197,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
198,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
199,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
200,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_4,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
201,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
202,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
203,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
204,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
205,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
206,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
207,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
208,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
209,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
210,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
211,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
212,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
213,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
214,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
