,drug,HC03_VC84,HC03_VC85,HC03_VC86,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC93,HC03_VC94
25,high,HC03_VC84_4,HC03_VC85_3,HC03_VC86_2,HC03_VC87_2,HC03_VC88_1,HC03_VC89_1,HC03_VC90_3,HC03_VC91_3,HC03_VC93_2,HC03_VC94_3
26,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
27,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_3,HC03_VC88_1,HC03_VC89_2,HC03_VC90_2,HC03_VC91_3,HC03_VC93_3,HC03_VC94_2
28,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_2,HC03_VC87_1,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
29,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
30,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
31,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_1,HC03_VC87_1,HC03_VC88_2,HC03_VC89_2,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
32,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_1,HC03_VC87_1,HC03_VC88_2,HC03_VC89_2,HC03_VC90_4,HC03_VC91_4,HC03_VC93_3,HC03_VC94_4
33,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_2,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
34,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_3,HC03_VC88_1,HC03_VC89_1,HC03_VC90_1,HC03_VC91_2,HC03_VC93_1,HC03_VC94_1
35,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_4
36,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
37,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
38,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_1,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
39,high,HC03_VC84_1,HC03_VC85_2,HC03_VC86_2,HC03_VC87_4,HC03_VC88_1,HC03_VC89_2,HC03_VC90_1,HC03_VC91_2,HC03_VC93_3,HC03_VC94_1
40,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_3,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_2,HC03_VC91_1,HC03_VC93_2,HC03_VC94_2
41,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_2,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_2,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
42,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_1,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
43,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
44,high,HC03_VC84_3,HC03_VC85_4,HC03_VC86_4,HC03_VC87_3,HC03_VC88_1,HC03_VC89_3,HC03_VC90_2,HC03_VC91_2,HC03_VC93_1,HC03_VC94_2
45,high,HC03_VC84_4,HC03_VC85_2,HC03_VC86_1,HC03_VC87_2,HC03_VC88_1,HC03_VC89_4,HC03_VC90_3,HC03_VC91_4,HC03_VC93_3,HC03_VC94_4
46,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_3,HC03_VC87_2,HC03_VC88_1,HC03_VC89_3,HC03_VC90_3,HC03_VC91_3,HC03_VC93_2,HC03_VC94_3
47,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
48,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_3,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
49,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_3,HC03_VC87_4,HC03_VC88_1,HC03_VC89_3,HC03_VC90_2,HC03_VC91_1,HC03_VC93_3,HC03_VC94_2
50,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_1,HC03_VC88_4,HC03_VC89_4,HC03_VC90_3,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
51,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_3,HC03_VC87_1,HC03_VC88_4,HC03_VC89_4,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_3
52,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
53,high,HC03_VC84_2,HC03_VC85_4,HC03_VC86_2,HC03_VC87_2,HC03_VC88_2,HC03_VC89_1,HC03_VC90_2,HC03_VC91_3,HC03_VC93_2,HC03_VC94_2
54,high,HC03_VC84_2,HC03_VC85_4,HC03_VC86_3,HC03_VC87_3,HC03_VC88_3,HC03_VC89_2,HC03_VC90_2,HC03_VC91_1,HC03_VC93_2,HC03_VC94_1
55,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_3,HC03_VC87_3,HC03_VC88_1,HC03_VC89_1,HC03_VC90_3,HC03_VC91_2,HC03_VC93_2,HC03_VC94_2
56,high,HC03_VC84_3,HC03_VC85_3,HC03_VC86_3,HC03_VC87_1,HC03_VC88_4,HC03_VC89_3,HC03_VC90_3,HC03_VC91_2,HC03_VC93_2,HC03_VC94_2
57,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_2,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
58,high,HC03_VC84_1,HC03_VC85_3,HC03_VC86_2,HC03_VC87_2,HC03_VC88_1,HC03_VC89_2,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
59,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
60,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_3,HC03_VC87_3,HC03_VC88_1,HC03_VC89_2,HC03_VC90_1,HC03_VC91_2,HC03_VC93_1,HC03_VC94_1
61,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_2,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
62,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_3,HC03_VC87_2,HC03_VC88_1,HC03_VC89_3,HC03_VC90_2,HC03_VC91_2,HC03_VC93_1,HC03_VC94_2
63,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_2,HC03_VC87_3,HC03_VC88_3,HC03_VC89_2,HC03_VC90_3,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
64,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_2,HC03_VC87_3,HC03_VC88_3,HC03_VC89_1,HC03_VC90_2,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
65,high,HC03_VC84_3,HC03_VC85_3,HC03_VC86_3,HC03_VC87_4,HC03_VC88_2,HC03_VC89_4,HC03_VC90_1,HC03_VC91_1,HC03_VC93_2,HC03_VC94_1
66,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
67,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_3,HC03_VC88_3,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
68,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
69,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_3,HC03_VC87_3,HC03_VC88_2,HC03_VC89_1,HC03_VC90_2,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
70,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_1,HC03_VC87_3,HC03_VC88_1,HC03_VC89_4,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
71,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_2,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
72,high,HC03_VC84_1,HC03_VC85_3,HC03_VC86_4,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
73,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_3,HC03_VC88_3,HC03_VC89_1,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
74,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
75,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_1,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
76,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_1,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
77,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_3,HC03_VC87_2,HC03_VC88_3,HC03_VC89_3,HC03_VC90_3,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
78,high,HC03_VC84_1,HC03_VC85_3,HC03_VC86_2,HC03_VC87_4,HC03_VC88_1,HC03_VC89_2,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
79,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_2,HC03_VC87_2,HC03_VC88_2,HC03_VC89_3,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
80,high,HC03_VC84_4,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_2,HC03_VC89_1,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
81,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_1,HC03_VC87_2,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
82,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_4,HC03_VC87_4,HC03_VC88_1,HC03_VC89_4,HC03_VC90_1,HC03_VC91_1,HC03_VC93_2,HC03_VC94_1
83,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_3,HC03_VC91_2,HC03_VC93_4,HC03_VC94_2
84,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
85,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_3,HC03_VC87_1,HC03_VC88_3,HC03_VC89_4,HC03_VC90_3,HC03_VC91_4,HC03_VC93_3,HC03_VC94_4
86,high,HC03_VC84_4,HC03_VC85_2,HC03_VC86_2,HC03_VC87_3,HC03_VC88_1,HC03_VC89_2,HC03_VC90_2,HC03_VC91_4,HC03_VC93_3,HC03_VC94_2
87,high,HC03_VC84_3,HC03_VC85_3,HC03_VC86_3,HC03_VC87_1,HC03_VC88_4,HC03_VC89_1,HC03_VC90_3,HC03_VC91_4,HC03_VC93_2,HC03_VC94_3
88,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_2,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
89,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_4,HC03_VC89_2,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
90,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
91,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_3,HC03_VC88_3,HC03_VC89_3,HC03_VC90_1,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
92,high,HC03_VC84_2,HC03_VC85_4,HC03_VC86_1,HC03_VC87_1,HC03_VC88_3,HC03_VC89_3,HC03_VC90_3,HC03_VC91_3,HC03_VC93_2,HC03_VC94_3
93,high,HC03_VC84_3,HC03_VC85_3,HC03_VC86_4,HC03_VC87_4,HC03_VC88_2,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
94,high,HC03_VC84_4,HC03_VC85_3,HC03_VC86_2,HC03_VC87_1,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_2,HC03_VC94_4
95,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_3,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
96,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_3,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
97,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_3,HC03_VC87_3,HC03_VC88_2,HC03_VC89_2,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
98,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_3,HC03_VC89_2,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
99,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_3,HC03_VC87_1,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_3,HC03_VC94_4
100,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_3,HC03_VC87_2,HC03_VC88_2,HC03_VC89_2,HC03_VC90_2,HC03_VC91_2,HC03_VC93_1,HC03_VC94_2
101,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_4,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_3
102,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_2,HC03_VC87_1,HC03_VC88_2,HC03_VC89_1,HC03_VC90_3,HC03_VC91_4,HC03_VC93_2,HC03_VC94_4
103,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_2,HC03_VC88_3,HC03_VC89_4,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
104,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_4,HC03_VC88_3,HC03_VC89_4,HC03_VC90_1,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
105,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_2,HC03_VC88_2,HC03_VC89_3,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
106,high,HC03_VC84_2,HC03_VC85_4,HC03_VC86_2,HC03_VC87_1,HC03_VC88_3,HC03_VC89_1,HC03_VC90_3,HC03_VC91_3,HC03_VC93_2,HC03_VC94_3
107,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_1,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_2,HC03_VC91_2,HC03_VC93_4,HC03_VC94_2
108,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
109,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_3,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
110,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_3,HC03_VC88_1,HC03_VC89_1,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
111,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
112,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_2,HC03_VC89_2,HC03_VC90_3,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
113,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_3,HC03_VC87_1,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_2,HC03_VC93_3,HC03_VC94_3
114,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_3,HC03_VC89_2,HC03_VC90_3,HC03_VC91_4,HC03_VC93_4,HC03_VC94_3
115,high,HC03_VC84_1,HC03_VC85_3,HC03_VC86_3,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_1,HC03_VC91_1,HC03_VC93_2,HC03_VC94_1
116,mid,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_1,HC03_VC89_4,HC03_VC90_2,HC03_VC91_2,HC03_VC93_4,HC03_VC94_2
117,mid,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_4
118,mid,HC03_VC84_4,HC03_VC85_2,HC03_VC86_1,HC03_VC87_2,HC03_VC88_2,HC03_VC89_4,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
119,mid,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
120,mid,HC03_VC84_1,HC03_VC85_3,HC03_VC86_4,HC03_VC87_4,HC03_VC88_1,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
121,mid,HC03_VC84_2,HC03_VC85_3,HC03_VC86_4,HC03_VC87_4,HC03_VC88_3,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
122,mid,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_2,HC03_VC88_2,HC03_VC89_1,HC03_VC90_2,HC03_VC91_2,HC03_VC93_1,HC03_VC94_2
123,mid,HC03_VC84_2,HC03_VC85_2,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
124,mid,HC03_VC84_4,HC03_VC85_3,HC03_VC86_2,HC03_VC87_1,HC03_VC88_1,HC03_VC89_2,HC03_VC90_4,HC03_VC91_4,HC03_VC93_2,HC03_VC94_4
125,mid,HC03_VC84_1,HC03_VC85_3,HC03_VC86_3,HC03_VC87_2,HC03_VC88_3,HC03_VC89_2,HC03_VC90_1,HC03_VC91_2,HC03_VC93_2,HC03_VC94_2
126,mid,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_3,HC03_VC89_3,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
127,mid,HC03_VC84_3,HC03_VC85_3,HC03_VC86_1,HC03_VC87_4,HC03_VC88_2,HC03_VC89_3,HC03_VC90_1,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
128,mid,HC03_VC84_3,HC03_VC85_2,HC03_VC86_3,HC03_VC87_3,HC03_VC88_2,HC03_VC89_3,HC03_VC90_2,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
129,mid,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_3,HC03_VC90_3,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
130,mid,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_4,HC03_VC88_2,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
131,mid,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_3,HC03_VC89_1,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
