,drug,HC03_VC03,HC03_VC04,HC03_VC05,HC03_VC06,HC03_VC07,HC03_VC08,HC03_VC09,HC03_VC10,HC03_VC11,HC03_VC12
28,high,HC03_VC03_4,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_4,HC03_VC09_4,HC03_VC10_2,HC03_VC11_4,HC03_VC12_3
29,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
30,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
31,high,HC03_VC03_3,HC03_VC04_4,HC03_VC05_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
32,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_2
33,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_2,HC03_VC11_3,HC03_VC12_2
34,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_2,HC03_VC08_3,HC03_VC09_2,HC03_VC10_4,HC03_VC11_4,HC03_VC12_1
35,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
36,high,HC03_VC03_4,HC03_VC04_3,HC03_VC05_2,HC03_VC06_2,HC03_VC07_1,HC03_VC08_4,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
37,high,HC03_VC03_4,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_3,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_4
38,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_1,HC03_VC06_4,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
39,high,HC03_VC03_2,HC03_VC04_1,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_4
40,high,HC03_VC03_1,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_3
41,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_2,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_3,HC03_VC11_2,HC03_VC12_2
42,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_3,HC03_VC06_3,HC03_VC07_4,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_3,HC03_VC12_3
43,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_3,HC03_VC09_1,HC03_VC10_4,HC03_VC11_2,HC03_VC12_1
44,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_3
45,high,HC03_VC03_2,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
46,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_4,HC03_VC06_2,HC03_VC07_3,HC03_VC08_4,HC03_VC09_4,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
47,high,HC03_VC03_2,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_4
48,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_3,HC03_VC10_1,HC03_VC11_2,HC03_VC12_3
49,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_2,HC03_VC06_4,HC03_VC07_3,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
50,high,HC03_VC03_4,HC03_VC04_1,HC03_VC05_3,HC03_VC06_2,HC03_VC07_4,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4
51,high,HC03_VC03_4,HC03_VC04_3,HC03_VC05_3,HC03_VC06_4,HC03_VC07_2,HC03_VC08_1,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
52,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
53,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_1
54,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_1,HC03_VC06_4,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
55,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_1,HC03_VC06_4,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
56,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_4,HC03_VC06_2,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
57,high,HC03_VC03_3,HC03_VC04_4,HC03_VC05_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_3,HC03_VC11_4,HC03_VC12_1
58,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_4,HC03_VC06_2,HC03_VC07_3,HC03_VC08_4,HC03_VC09_3,HC03_VC10_1,HC03_VC11_3,HC03_VC12_3
59,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
60,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_2,HC03_VC06_4,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1
61,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
62,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_4,HC03_VC06_1,HC03_VC07_3,HC03_VC08_2,HC03_VC09_4,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4
63,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_3,HC03_VC06_2,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_4,HC03_VC11_4,HC03_VC12_2
64,high,HC03_VC03_4,HC03_VC04_3,HC03_VC05_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_3,HC03_VC09_4,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
65,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_1,HC03_VC06_3,HC03_VC07_1,HC03_VC08_1,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
66,high,HC03_VC03_2,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_4
67,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_3,HC03_VC10_3,HC03_VC11_2,HC03_VC12_2
68,high,HC03_VC03_1,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_2,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_3
69,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2
70,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_1,HC03_VC06_3,HC03_VC07_1,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
71,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
72,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_3,HC03_VC06_2,HC03_VC07_2,HC03_VC08_3,HC03_VC09_3,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
73,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_1,HC03_VC06_3,HC03_VC07_1,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
74,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_2,HC03_VC09_2,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4
75,high,HC03_VC03_4,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_1,HC03_VC10_4,HC03_VC11_4,HC03_VC12_1
76,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_2,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
77,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_2,HC03_VC12_2
78,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_1
79,high,HC03_VC03_4,HC03_VC04_1,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
80,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
81,high,HC03_VC03_4,HC03_VC04_2,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_3
82,high,HC03_VC03_2,HC03_VC04_1,HC03_VC05_3,HC03_VC06_1,HC03_VC07_1,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_4
83,high,HC03_VC03_1,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_3
84,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2
85,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2
86,high,HC03_VC03_4,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_2,HC03_VC12_4
87,high,HC03_VC03_1,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
88,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_4,HC03_VC09_4,HC03_VC10_2,HC03_VC11_1,HC03_VC12_3
89,high,HC03_VC03_1,HC03_VC04_1,HC03_VC05_2,HC03_VC06_1,HC03_VC07_1,HC03_VC08_3,HC03_VC09_4,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4
90,high,HC03_VC03_4,HC03_VC04_1,HC03_VC05_2,HC03_VC06_1,HC03_VC07_1,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_4,HC03_VC12_4
91,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_4
92,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_1
93,high,HC03_VC03_2,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_3,HC03_VC09_2,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1
94,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_4,HC03_VC12_2
95,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_4,HC03_VC08_2,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1
96,high,HC03_VC03_1,HC03_VC04_2,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_3,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
97,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_3,HC03_VC12_2
98,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
99,high,HC03_VC03_3,HC03_VC04_1,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_4
100,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_2
101,mid,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_4,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_3,HC03_VC12_1
102,mid,HC03_VC03_2,HC03_VC04_3,HC03_VC05_4,HC03_VC06_4,HC03_VC07_3,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_2,HC03_VC12_2
103,mid,HC03_VC03_1,HC03_VC04_3,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_4,HC03_VC11_3,HC03_VC12_2
104,mid,HC03_VC03_2,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_2,HC03_VC09_1,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4
105,mid,HC03_VC03_2,HC03_VC04_2,HC03_VC05_3,HC03_VC06_2,HC03_VC07_3,HC03_VC08_1,HC03_VC09_2,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2
106,mid,HC03_VC03_4,HC03_VC04_2,HC03_VC05_4,HC03_VC06_1,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_3
107,mid,HC03_VC03_3,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_1,HC03_VC08_1,HC03_VC09_2,HC03_VC10_3,HC03_VC11_4,HC03_VC12_3
108,mid,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
109,mid,HC03_VC03_3,HC03_VC04_1,HC03_VC05_2,HC03_VC06_1,HC03_VC07_1,HC03_VC08_2,HC03_VC09_1,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4
110,mid,HC03_VC03_3,HC03_VC04_2,HC03_VC05_3,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_4,HC03_VC12_3
111,mid,HC03_VC03_1,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_2,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
112,mid,HC03_VC03_4,HC03_VC04_2,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_2,HC03_VC09_4,HC03_VC10_1,HC03_VC11_1,HC03_VC12_3
113,mid,HC03_VC03_1,HC03_VC04_2,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
114,mid,HC03_VC03_4,HC03_VC04_2,HC03_VC05_3,HC03_VC06_1,HC03_VC07_1,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_3
115,mid,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
116,mid,HC03_VC03_1,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1
117,mid,HC03_VC03_2,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
118,mid,HC03_VC03_3,HC03_VC04_3,HC03_VC05_1,HC03_VC06_4,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
119,mid,HC03_VC03_3,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4
120,mid,HC03_VC03_4,HC03_VC04_1,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_2,HC03_VC12_4
121,mid,HC03_VC03_2,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_2
122,mid,HC03_VC03_2,HC03_VC04_3,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_3,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
123,mid,HC03_VC03_1,HC03_VC04_4,HC03_VC05_1,HC03_VC06_4,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
124,mid,HC03_VC03_1,HC03_VC04_3,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
125,mid,HC03_VC03_1,HC03_VC04_4,HC03_VC05_2,HC03_VC06_4,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_1
126,mid,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_1
127,mid,HC03_VC03_1,HC03_VC04_4,HC03_VC05_1,HC03_VC06_4,HC03_VC07_1,HC03_VC08_3,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
128,mid,HC03_VC03_1,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4
129,mid,HC03_VC03_3,HC03_VC04_1,HC03_VC05_1,HC03_VC06_1,HC03_VC07_1,HC03_VC08_2,HC03_VC09_4,HC03_VC10_3,HC03_VC11_3,HC03_VC12_4
130,mid,HC03_VC03_2,HC03_VC04_1,HC03_VC05_2,HC03_VC06_2,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
131,mid,HC03_VC03_3,HC03_VC04_2,HC03_VC05_3,HC03_VC06_1,HC03_VC07_2,HC03_VC08_4,HC03_VC09_4,HC03_VC10_3,HC03_VC11_3,HC03_VC12_3
